S50.00XA@Contusion of unspecified elbow, initial encounter
S56.119S@Strain flexor musc/fasc/tend of unsp fngr at forarm lv, sqla
S56.121A@Lacerat flexor musc/fasc/tend r idx fngr at forarm lv, init
S56.121D@Lacerat flexor musc/fasc/tend r idx fngr at forarm lv, subs
S56.121S@Lacerat flexor musc/fasc/tend r idx fngr at forarm lv, sqla
S56.122A@Lacerat flexor musc/fasc/tend l idx fngr at forarm lv, init
S56.122D@Lacerat flexor musc/fasc/tend l idx fngr at forarm lv, subs
S56.122S@Lacerat flexor musc/fasc/tend l idx fngr at forarm lv, sqla
S56.123A@Lacerat flexor musc/fasc/tend r mid fngr at forarm lv, init
S56.123D@Lacerat flexor musc/fasc/tend r mid fngr at forarm lv, subs
S56.123S@Lacerat flexor musc/fasc/tend r mid fngr at forarm lv, sqla
S56.124A@Lacerat flexor musc/fasc/tend l mid fngr at forarm lv, init
S56.124D@Lacerat flexor musc/fasc/tend l mid fngr at forarm lv, subs
S56.124S@Lacerat flexor musc/fasc/tend l mid fngr at forarm lv, sqla
S56.125A@Lacerat flexor musc/fasc/tend r rng fngr at forarm lv, init
S56.125D@Lacerat flexor musc/fasc/tend r rng fngr at forarm lv, subs
S56.125S@Lacerat flexor musc/fasc/tend r rng fngr at forarm lv, sqla
S56.126A@Lacerat flexor musc/fasc/tend l rng fngr at forarm lv, init
S56.126D@Lacerat flexor musc/fasc/tend l rng fngr at forarm lv, subs
S56.126S@Lacerat flexor musc/fasc/tend l rng fngr at forarm lv, sqla
S56.127A@Lacerat flxr musc/fasc/tend r little fngr at forarm lv, init
S56.127D@Lacerat flxr musc/fasc/tend r little fngr at forarm lv, subs
S56.127S@Lacerat flxr musc/fasc/tend r little fngr at forarm lv, sqla
S56.128A@Lacerat flxr musc/fasc/tend l little fngr at forarm lv, init
S56.128D@Lacerat flxr musc/fasc/tend l little fngr at forarm lv, subs
S56.128S@Lacerat flxr musc/fasc/tend l little fngr at forarm lv, sqla
S56.129A@Lacerat flexor musc/fasc/tend unsp finger at forarm lv, init
S56.129D@Lacerat flexor musc/fasc/tend unsp finger at forarm lv, subs
S56.129S@Lacerat flexor musc/fasc/tend unsp finger at forarm lv, sqla
S56.191A@Inj flexor musc/fasc/tend r idx fngr at forearm level, init
S56.191D@Inj flexor musc/fasc/tend r idx fngr at forearm level, subs
S56.191S@Inj flexor musc/fasc/tend r idx fngr at forarm lv, sequela
S56.192A@Inj flexor musc/fasc/tend l idx fngr at forearm level, init
S56.192D@Inj flexor musc/fasc/tend l idx fngr at forearm level, subs
S56.192S@Inj flexor musc/fasc/tend l idx fngr at forarm lv, sequela
S56.193A@Inj flexor musc/fasc/tend r mid finger at forarm lv, init
S56.193D@Inj flexor musc/fasc/tend r mid finger at forarm lv, subs
S56.193S@Inj flexor musc/fasc/tend r mid finger at forarm lv, sequela
S56.194A@Inj flexor musc/fasc/tend l mid finger at forarm lv, init
S56.194D@Inj flexor musc/fasc/tend l mid finger at forarm lv, subs
S56.194S@Inj flexor musc/fasc/tend l mid finger at forarm lv, sequela
S56.195A@Inj flexor musc/fasc/tend r rng fngr at forearm level, init
S56.195D@Inj flexor musc/fasc/tend r rng fngr at forearm level, subs
S56.195S@Inj flexor musc/fasc/tend r rng fngr at forarm lv, sequela
S56.196A@Inj flexor musc/fasc/tend l rng fngr at forearm level, init
S56.196D@Inj flexor musc/fasc/tend l rng fngr at forearm level, subs
S56.196S@Inj flexor musc/fasc/tend l rng fngr at forarm lv, sequela
S56.197A@Inj flexor musc/fasc/tend r little finger at forarm lv, init
S56.197D@Inj flexor musc/fasc/tend r little finger at forarm lv, subs
S56.197S@Inj flexor musc/fasc/tend r little finger at forarm lv, sqla
S56.198A@Inj flexor musc/fasc/tend l little finger at forarm lv, init
S56.198D@Inj flexor musc/fasc/tend l little finger at forarm lv, subs
S56.198S@Inj flexor musc/fasc/tend l little finger at forarm lv, sqla
S56.199A@Inj flexor musc/fasc/tend unsp finger at forearm level, init
S56.199D@Inj flexor musc/fasc/tend unsp finger at forearm level, subs
S56.199S@Inj flexor musc/fasc/tend unsp finger at forarm lv, sequela
S56.201A@Unsp inj flexor musc/fasc/tend at forarm lv, right arm, init
S56.201D@Unsp inj flexor musc/fasc/tend at forarm lv, right arm, subs
S56.201S@Unsp inj flexor musc/fasc/tend at forarm lv, right arm, sqla
S56.202A@Unsp inj flexor musc/fasc/tend at forarm lv, left arm, init
S56.202D@Unsp inj flexor musc/fasc/tend at forarm lv, left arm, subs
S56.202S@Unsp inj flexor musc/fasc/tend at forarm lv, left arm, sqla
S56.209A@Unsp inj flexor musc/fasc/tend at forarm lv, unsp arm, init
S56.209D@Unsp inj flexor musc/fasc/tend at forarm lv, unsp arm, subs
S56.209S@Unsp inj flexor musc/fasc/tend at forarm lv, unsp arm, sqla
S56.211A@Strain flexor musc/fasc/tend at forarm lv, right arm, init
S56.211D@Strain flexor musc/fasc/tend at forarm lv, right arm, subs
S56.211S@Strain flexor musc/fasc/tend at forarm lv, right arm, sqla
S56.212A@Strain of flexor musc/fasc/tend at forarm lv, left arm, init
S56.212D@Strain of flexor musc/fasc/tend at forarm lv, left arm, subs
S56.212S@Strain flexor musc/fasc/tend at forarm lv, left arm, sequela
S56.219A@Strain of flexor musc/fasc/tend at forarm lv, unsp arm, init
S56.219D@Strain of flexor musc/fasc/tend at forarm lv, unsp arm, subs
S56.219S@Strain flexor musc/fasc/tend at forarm lv, unsp arm, sequela
S56.221A@Lacerat flexor musc/fasc/tend at forarm lv, right arm, init
S56.221D@Lacerat flexor musc/fasc/tend at forarm lv, right arm, subs
S56.221S@Lacerat flexor musc/fasc/tend at forarm lv, right arm, sqla
S56.222A@Lacerat flexor musc/fasc/tend at forarm lv, left arm, init
S56.222D@Lacerat flexor musc/fasc/tend at forarm lv, left arm, subs
S56.222S@Lacerat flexor musc/fasc/tend at forarm lv, left arm, sqla
S56.229A@Lacerat flexor musc/fasc/tend at forarm lv, unsp arm, init
S56.229D@Lacerat flexor musc/fasc/tend at forarm lv, unsp arm, subs
S56.229S@Lacerat flexor musc/fasc/tend at forarm lv, unsp arm, sqla
S56.291A@Inj oth flexor musc/fasc/tend at forarm lv, right arm, init
S56.291D@Inj oth flexor musc/fasc/tend at forarm lv, right arm, subs
S56.291S@Inj oth flexor musc/fasc/tend at forarm lv, right arm, sqla
S56.292A@Inj oth flexor musc/fasc/tend at forarm lv, left arm, init
S56.292D@Inj oth flexor musc/fasc/tend at forarm lv, left arm, subs
S56.292S@Inj oth flexor musc/fasc/tend at forarm lv, left arm, sqla
S56.299A@Inj oth flexor musc/fasc/tend at forarm lv, unsp arm, init
S56.299D@Inj oth flexor musc/fasc/tend at forarm lv, unsp arm, subs
S56.299S@Inj oth flexor musc/fasc/tend at forarm lv, unsp arm, sqla
S56.301A@Unsp inj extn/abdr musc/fasc/tend of r thm at forarm lv,init
S56.301D@Unsp inj extn/abdr musc/fasc/tend of r thm at forarm lv,subs
S56.301S@Unsp inj extn/abdr musc/fasc/tend of r thm at forarm lv,sqla
S56.302A@Unsp inj extn/abdr musc/fasc/tend of l thm at forarm lv,init
S56.302D@Unsp inj extn/abdr musc/fasc/tend of l thm at forarm lv,subs
S56.302S@Unsp inj extn/abdr musc/fasc/tend of l thm at forarm lv,sqla
S56.309A@Unsp inj extn/abdr musc/fasc/tend of thmb at forarm lv, init
S56.309D@Unsp inj extn/abdr musc/fasc/tend of thmb at forarm lv, subs
S56.309S@Unsp inj extn/abdr musc/fasc/tend of thmb at forarm lv, sqla
S56.311A@Strain extn/abdr musc/fasc/tend of r thm at forarm lv, init
S56.311D@Strain extn/abdr musc/fasc/tend of r thm at forarm lv, subs
S56.311S@Strain extn/abdr musc/fasc/tend of r thm at forarm lv, sqla
S56.312A@Strain extn/abdr musc/fasc/tend of l thm at forarm lv, init
S56.312D@Strain extn/abdr musc/fasc/tend of l thm at forarm lv, subs
S56.312S@Strain extn/abdr musc/fasc/tend of l thm at forarm lv, sqla
S56.319A@Strain extn/abdr musc/fasc/tend of thmb at forarm lv, init
S56.319D@Strain extn/abdr musc/fasc/tend of thmb at forarm lv, subs
S56.319S@Strain extn/abdr musc/fasc/tend of thmb at forarm lv, sqla
S56.321A@Lacerat extn/abdr musc/fasc/tend of r thm at forarm lv, init
S56.321D@Lacerat extn/abdr musc/fasc/tend of r thm at forarm lv, subs
S56.321S@Lacerat extn/abdr musc/fasc/tend of r thm at forarm lv, sqla
S56.322A@Lacerat extn/abdr musc/fasc/tend of l thm at forarm lv, init
S56.322D@Lacerat extn/abdr musc/fasc/tend of l thm at forarm lv, subs
S56.322S@Lacerat extn/abdr musc/fasc/tend of l thm at forarm lv, sqla
S56.329A@Lacerat extn/abdr musc/fasc/tend of thmb at forarm lv, init
S56.329D@Lacerat extn/abdr musc/fasc/tend of thmb at forarm lv, subs
S56.329S@Lacerat extn/abdr musc/fasc/tend of thmb at forarm lv, sqla
S56.391A@Inj extn/abdr musc/fasc/tend of r thm at forarm lv, init
S56.391D@Inj extn/abdr musc/fasc/tend of r thm at forarm lv, subs
S56.391S@Inj extn/abdr musc/fasc/tend of r thm at forarm lv, sequela
S56.392A@Inj extn/abdr musc/fasc/tend of l thm at forarm lv, init
S56.392D@Inj extn/abdr musc/fasc/tend of l thm at forarm lv, subs
S56.392S@Inj extn/abdr musc/fasc/tend of l thm at forarm lv, sequela
S56.399A@Inj extn/abdr musc/fasc/tend of thmb at forearm level, init
S56.399D@Inj extn/abdr musc/fasc/tend of thmb at forearm level, subs
S56.399S@Inj extn/abdr musc/fasc/tend of thmb at forarm lv, sequela
S56.401A@Unsp inj extn musc/fasc/tend r idx fngr at forarm lv, init
S56.401D@Unsp inj extn musc/fasc/tend r idx fngr at forarm lv, subs
S56.401S@Unsp inj extn musc/fasc/tend r idx fngr at forarm lv, sqla
S56.402A@Unsp inj extn musc/fasc/tend l idx fngr at forarm lv, init
S56.402D@Unsp inj extn musc/fasc/tend l idx fngr at forarm lv, subs
S56.402S@Unsp inj extn musc/fasc/tend l idx fngr at forarm lv, sqla
S56.403A@Unsp inj extn musc/fasc/tend r mid finger at forarm lv, init
S56.403D@Unsp inj extn musc/fasc/tend r mid finger at forarm lv, subs
S56.403S@Unsp inj extn musc/fasc/tend r mid finger at forarm lv, sqla
S56.404A@Unsp inj extn musc/fasc/tend l mid finger at forarm lv, init
S56.404D@Unsp inj extn musc/fasc/tend l mid finger at forarm lv, subs
S56.404S@Unsp inj extn musc/fasc/tend l mid finger at forarm lv, sqla
S56.405A@Unsp inj extn musc/fasc/tend r rng fngr at forarm lv, init
S56.405D@Unsp inj extn musc/fasc/tend r rng fngr at forarm lv, subs
S56.405S@Unsp inj extn musc/fasc/tend r rng fngr at forarm lv, sqla
S56.406A@Unsp inj extn musc/fasc/tend l rng fngr at forarm lv, init
S56.406D@Unsp inj extn musc/fasc/tend l rng fngr at forarm lv, subs
S56.406S@Unsp inj extn musc/fasc/tend l rng fngr at forarm lv, sqla
S56.407A@Unsp inj extn musc/fasc/tend r lit fngr at forarm lv, init
S56.407D@Unsp inj extn musc/fasc/tend r lit fngr at forarm lv, subs
S56.407S@Unsp inj extn musc/fasc/tend r lit fngr at forarm lv, sqla
S56.408A@Unsp inj extn musc/fasc/tend l lit fngr at forarm lv, init
S56.408D@Unsp inj extn musc/fasc/tend l lit fngr at forarm lv, subs
S56.408S@Unsp inj extn musc/fasc/tend l lit fngr at forarm lv, sqla
S56.409A@Unsp inj extn musc/fasc/tend unsp finger at forarm lv, init
S56.409D@Unsp inj extn musc/fasc/tend unsp finger at forarm lv, subs
S56.409S@Unsp inj extn musc/fasc/tend unsp finger at forarm lv, sqla
S56.411A@Strain extensor musc/fasc/tend r idx fngr at forarm lv, init
S56.411D@Strain extensor musc/fasc/tend r idx fngr at forarm lv, subs
S56.411S@Strain extn musc/fasc/tend r idx fngr at forarm lv, sequela
S56.412A@Strain extensor musc/fasc/tend l idx fngr at forarm lv, init
S56.412D@Strain extensor musc/fasc/tend l idx fngr at forarm lv, subs
S56.412S@Strain extn musc/fasc/tend l idx fngr at forarm lv, sequela
S56.413A@Strain extn musc/fasc/tend r mid finger at forarm lv, init
S56.413D@Strain extn musc/fasc/tend r mid finger at forarm lv, subs
S56.413S@Strain extn musc/fasc/tend r mid finger at forarm lv, sqla
S56.414A@Strain extn musc/fasc/tend l mid finger at forarm lv, init
S56.414D@Strain extn musc/fasc/tend l mid finger at forarm lv, subs
S56.414S@Strain extn musc/fasc/tend l mid finger at forarm lv, sqla
S56.415A@Strain extensor musc/fasc/tend r rng fngr at forarm lv, init
S56.415D@Strain extensor musc/fasc/tend r rng fngr at forarm lv, subs
S56.415S@Strain extn musc/fasc/tend r rng fngr at forarm lv, sequela
S56.416A@Strain extensor musc/fasc/tend l rng fngr at forarm lv, init
S56.416D@Strain extensor musc/fasc/tend l rng fngr at forarm lv, subs
S56.416S@Strain extn musc/fasc/tend l rng fngr at forarm lv, sequela
S56.417A@Strain extn musc/fasc/tend r little fngr at forarm lv, init
S56.417D@Strain extn musc/fasc/tend r little fngr at forarm lv, subs
S56.417S@Strain extn musc/fasc/tend r little fngr at forarm lv, sqla
S56.418A@Strain extn musc/fasc/tend l little fngr at forarm lv, init
S56.418D@Strain extn musc/fasc/tend l little fngr at forarm lv, subs
S56.418S@Strain extn musc/fasc/tend l little fngr at forarm lv, sqla
S56.419A@Strain extn musc/fasc/tend fngr,unsp fngr at forarm lv, init
S56.419D@Strain extn musc/fasc/tend fngr,unsp fngr at forarm lv, subs
S56.419S@Strain extn musc/fasc/tend fngr,unsp fngr at forarm lv, sqla
S56.421A@Lacerat extn musc/fasc/tend r idx fngr at forarm lv, init
S56.421D@Lacerat extn musc/fasc/tend r idx fngr at forarm lv, subs
S56.421S@Lacerat extn musc/fasc/tend r idx fngr at forarm lv, sequela
S56.422A@Lacerat extn musc/fasc/tend l idx fngr at forarm lv, init
S56.422D@Lacerat extn musc/fasc/tend l idx fngr at forarm lv, subs
S56.422S@Lacerat extn musc/fasc/tend l idx fngr at forarm lv, sequela
S56.423A@Lacerat extn musc/fasc/tend r mid finger at forarm lv, init
S56.423D@Lacerat extn musc/fasc/tend r mid finger at forarm lv, subs
S56.423S@Lacerat extn musc/fasc/tend r mid finger at forarm lv, sqla
S56.424A@Lacerat extn musc/fasc/tend l mid finger at forarm lv, init
S56.424D@Lacerat extn musc/fasc/tend l mid finger at forarm lv, subs
S56.424S@Lacerat extn musc/fasc/tend l mid finger at forarm lv, sqla
S56.425A@Lacerat extn musc/fasc/tend r rng fngr at forarm lv, init
S56.425D@Lacerat extn musc/fasc/tend r rng fngr at forarm lv, subs
S56.425S@Lacerat extn musc/fasc/tend r rng fngr at forarm lv, sequela
S56.426A@Lacerat extn musc/fasc/tend l rng fngr at forarm lv, init
S56.426D@Lacerat extn musc/fasc/tend l rng fngr at forarm lv, subs
S56.426S@Lacerat extn musc/fasc/tend l rng fngr at forarm lv, sequela
S56.427A@Lacerat extn musc/fasc/tend r little fngr at forarm lv, init
S56.427D@Lacerat extn musc/fasc/tend r little fngr at forarm lv, subs
S56.427S@Lacerat extn musc/fasc/tend r little fngr at forarm lv, sqla
S56.428A@Lacerat extn musc/fasc/tend l little fngr at forarm lv, init
S56.428D@Lacerat extn musc/fasc/tend l little fngr at forarm lv, subs
S56.428S@Lacerat extn musc/fasc/tend l little fngr at forarm lv, sqla
S56.429A@Lacerat extn musc/fasc/tend unsp finger at forarm lv, init
S56.429D@Lacerat extn musc/fasc/tend unsp finger at forarm lv, subs
S56.429S@Lacerat extn musc/fasc/tend unsp finger at forarm lv, sqla
S56.491A@Inj extensor musc/fasc/tend r idx fngr at forarm lv, init
S56.491D@Inj extensor musc/fasc/tend r idx fngr at forarm lv, subs
S56.491S@Inj extensor musc/fasc/tend r idx fngr at forarm lv, sequela
S56.492A@Inj extensor musc/fasc/tend l idx fngr at forarm lv, init
S56.492D@Inj extensor musc/fasc/tend l idx fngr at forarm lv, subs
S56.492S@Inj extensor musc/fasc/tend l idx fngr at forarm lv, sequela
S56.493A@Inj extensor musc/fasc/tend r mid finger at forarm lv, init
S56.493D@Inj extensor musc/fasc/tend r mid finger at forarm lv, subs
S56.493S@Inj extn musc/fasc/tend r mid finger at forarm lv, sequela
S56.494A@Inj extensor musc/fasc/tend l mid finger at forarm lv, init
S56.494D@Inj extensor musc/fasc/tend l mid finger at forarm lv, subs
S56.494S@Inj extn musc/fasc/tend l mid finger at forarm lv, sequela
S56.495A@Inj extensor musc/fasc/tend r rng fngr at forarm lv, init
S56.495D@Inj extensor musc/fasc/tend r rng fngr at forarm lv, subs
S56.495S@Inj extensor musc/fasc/tend r rng fngr at forarm lv, sequela
S56.496A@Inj extensor musc/fasc/tend l rng fngr at forarm lv, init
S56.496D@Inj extensor musc/fasc/tend l rng fngr at forarm lv, subs
S56.496S@Inj extensor musc/fasc/tend l rng fngr at forarm lv, sequela
S56.497A@Inj extn musc/fasc/tend r little finger at forarm lv, init
S56.497D@Inj extn musc/fasc/tend r little finger at forarm lv, subs
S56.497S@Inj extn musc/fasc/tend r little finger at forarm lv, sqla
S56.498A@Inj extn musc/fasc/tend l little finger at forarm lv, init
S56.498D@Inj extn musc/fasc/tend l little finger at forarm lv, subs
S56.498S@Inj extn musc/fasc/tend l little finger at forarm lv, sqla
S56.499A@Inj extensor musc/fasc/tend unsp finger at forarm lv, init
S56.499D@Inj extensor musc/fasc/tend unsp finger at forarm lv, subs
S56.499S@Inj extn musc/fasc/tend unsp finger at forarm lv, sequela
S56.501A@Unsp inj extn musc/fasc/tend at forarm lv, right arm, init
S56.501D@Unsp inj extn musc/fasc/tend at forarm lv, right arm, subs
S56.501S@Unsp inj extn musc/fasc/tend at forarm lv, right arm, sqla
S56.502A@Unsp inj extn musc/fasc/tend at forarm lv, left arm, init
S56.502D@Unsp inj extn musc/fasc/tend at forarm lv, left arm, subs
S56.502S@Unsp inj extn musc/fasc/tend at forarm lv, left arm, sequela
S56.509A@Unsp inj extn musc/fasc/tend at forarm lv, unsp arm, init
S56.509D@Unsp inj extn musc/fasc/tend at forarm lv, unsp arm, subs
S56.509S@Unsp inj extn musc/fasc/tend at forarm lv, unsp arm, sequela
S56.511A@Strain of extn musc/fasc/tend at forarm lv, right arm, init
S56.511D@Strain of extn musc/fasc/tend at forarm lv, right arm, subs
S56.511S@Strain extn musc/fasc/tend at forarm lv, right arm, sequela
S56.512A@Strain of extn musc/fasc/tend at forarm lv, left arm, init
S56.512D@Strain of extn musc/fasc/tend at forarm lv, left arm, subs
S56.512S@Strain extn musc/fasc/tend at forarm lv, left arm, sequela
S56.519A@Strain of extn musc/fasc/tend at forarm lv, unsp arm, init
S56.519D@Strain of extn musc/fasc/tend at forarm lv, unsp arm, subs
S56.519S@Strain extn musc/fasc/tend at forarm lv, unsp arm, sequela
S56.521A@Lacerat extn musc/fasc/tend at forarm lv, right arm, init
S56.521D@Lacerat extn musc/fasc/tend at forarm lv, right arm, subs
S56.521S@Lacerat extn musc/fasc/tend at forarm lv, right arm, sequela
S56.522A@Lacerat extn musc/fasc/tend at forarm lv, left arm, init
S56.522D@Lacerat extn musc/fasc/tend at forarm lv, left arm, subs
S56.522S@Lacerat extn musc/fasc/tend at forarm lv, left arm, sequela
S56.529A@Lacerat extn musc/fasc/tend at forarm lv, unsp arm, init
S56.529D@Lacerat extn musc/fasc/tend at forarm lv, unsp arm, subs
S56.529S@Lacerat extn musc/fasc/tend at forarm lv, unsp arm, sequela
S56.591A@Inj extn musc/fasc/tend at forearm level, right arm, init
S56.591D@Inj extn musc/fasc/tend at forearm level, right arm, subs
S56.591S@Inj extn musc/fasc/tend at forearm level, right arm, sequela
S56.592A@Inj extn musc/fasc/tend at forearm level, left arm, init
S56.592D@Inj extn musc/fasc/tend at forearm level, left arm, subs
S56.592S@Inj extn musc/fasc/tend at forearm level, left arm, sequela
S56.599A@Inj extn musc/fasc/tend at forearm level, unsp arm, init
S56.599D@Inj extn musc/fasc/tend at forearm level, unsp arm, subs
S56.599S@Inj extn musc/fasc/tend at forearm level, unsp arm, sequela
S56.801A@Unsp injury of musc/fasc/tend at forarm lv, right arm, init
S56.801D@Unsp injury of musc/fasc/tend at forarm lv, right arm, subs
S56.801S@Unsp inj musc/fasc/tend at forarm lv, right arm, sequela
S56.802A@Unsp injury of musc/fasc/tend at forarm lv, left arm, init
S56.802D@Unsp injury of musc/fasc/tend at forarm lv, left arm, subs
S56.802S@Unsp inj musc/fasc/tend at forarm lv, left arm, sequela
S56.809A@Unsp injury of musc/fasc/tend at forarm lv, unsp arm, init
S56.809D@Unsp injury of musc/fasc/tend at forarm lv, unsp arm, subs
S56.809S@Unsp inj musc/fasc/tend at forarm lv, unsp arm, sequela
S56.811A@Strain of musc/fasc/tend at forearm level, right arm, init
S56.811D@Strain of musc/fasc/tend at forearm level, right arm, subs
S56.811S@Strain of musc/fasc/tend at forarm lv, right arm, sequela
S56.812A@Strain of musc/fasc/tend at forearm level, left arm, init
S56.812D@Strain of musc/fasc/tend at forearm level, left arm, subs
S56.812S@Strain of musc/fasc/tend at forearm level, left arm, sequela
S56.819A@Strain of musc/fasc/tend at forearm level, unsp arm, init
S56.819D@Strain of musc/fasc/tend at forearm level, unsp arm, subs
S56.819S@Strain of musc/fasc/tend at forearm level, unsp arm, sequela
S56.821A@Laceration of musc/fasc/tend at forarm lv, right arm, init
S56.821D@Laceration of musc/fasc/tend at forarm lv, right arm, subs
S56.821S@Lacerat musc/fasc/tend at forarm lv, right arm, sequela
S56.822A@Laceration of musc/fasc/tend at forarm lv, left arm, init
S56.822D@Laceration of musc/fasc/tend at forarm lv, left arm, subs
S56.822S@Laceration of musc/fasc/tend at forarm lv, left arm, sequela
S56.829A@Laceration of musc/fasc/tend at forarm lv, unsp arm, init
S56.829D@Laceration of musc/fasc/tend at forarm lv, unsp arm, subs
S56.829S@Laceration of musc/fasc/tend at forarm lv, unsp arm, sequela
S56.891A@Inj musc/fasc/tend at forearm level, right arm, init encntr
S56.891D@Inj musc/fasc/tend at forearm level, right arm, subs encntr
S56.891S@Inj musc/fasc/tend at forearm level, right arm, sequela
S56.892A@Inj musc/fasc/tend at forearm level, left arm, init encntr
S56.892D@Inj musc/fasc/tend at forearm level, left arm, subs encntr
S56.892S@Inj musc/fasc/tend at forearm level, left arm, sequela
S56.899A@Inj musc/fasc/tend at forearm level, unsp arm, init encntr
S56.899D@Inj musc/fasc/tend at forearm level, unsp arm, subs encntr
S56.899S@Inj musc/fasc/tend at forearm level, unsp arm, sequela
S56.901A@Unsp inj unsp musc/fasc/tend at forarm lv, right arm, init
S56.901D@Unsp inj unsp musc/fasc/tend at forarm lv, right arm, subs
S56.901S@Unsp inj unsp musc/fasc/tend at forarm lv, right arm, sqla
S56.902A@Unsp inj unsp musc/fasc/tend at forarm lv, left arm, init
S56.902D@Unsp inj unsp musc/fasc/tend at forarm lv, left arm, subs
S56.902S@Unsp inj unsp musc/fasc/tend at forarm lv, left arm, sequela
S56.909A@Unsp inj unsp musc/fasc/tend at forarm lv, unsp arm, init
S56.909D@Unsp inj unsp musc/fasc/tend at forarm lv, unsp arm, subs
S56.909S@Unsp inj unsp musc/fasc/tend at forarm lv, unsp arm, sequela
S56.911A@Strain of unsp musc/fasc/tend at forarm lv, right arm, init
S56.911D@Strain of unsp musc/fasc/tend at forarm lv, right arm, subs
S56.911S@Strain unsp musc/fasc/tend at forarm lv, right arm, sequela
S56.912A@Strain of unsp musc/fasc/tend at forarm lv, left arm, init
S56.912D@Strain of unsp musc/fasc/tend at forarm lv, left arm, subs
S56.912S@Strain unsp musc/fasc/tend at forarm lv, left arm, sequela
S56.919A@Strain of unsp musc/fasc/tend at forarm lv, unsp arm, init
S56.919D@Strain of unsp musc/fasc/tend at forarm lv, unsp arm, subs
S56.919S@Strain unsp musc/fasc/tend at forarm lv, unsp arm, sequela
S56.921A@Lacerat unsp musc/fasc/tend at forarm lv, right arm, init
S56.921D@Lacerat unsp musc/fasc/tend at forarm lv, right arm, subs
S56.921S@Lacerat unsp musc/fasc/tend at forarm lv, right arm, sequela
S56.922A@Lacerat unsp musc/fasc/tend at forarm lv, left arm, init
S56.922D@Lacerat unsp musc/fasc/tend at forarm lv, left arm, subs
S56.922S@Lacerat unsp musc/fasc/tend at forarm lv, left arm, sequela
S56.929A@Lacerat unsp musc/fasc/tend at forarm lv, unsp arm, init
S56.929D@Lacerat unsp musc/fasc/tend at forarm lv, unsp arm, subs
S56.929S@Lacerat unsp musc/fasc/tend at forarm lv, unsp arm, sequela
S56.991A@Inj unsp musc/fasc/tend at forearm level, right arm, init
S56.991D@Inj unsp musc/fasc/tend at forearm level, right arm, subs
S56.991S@Inj unsp musc/fasc/tend at forearm level, right arm, sequela
S56.992A@Inj unsp musc/fasc/tend at forearm level, left arm, init
S56.992D@Inj unsp musc/fasc/tend at forearm level, left arm, subs
S56.992S@Inj unsp musc/fasc/tend at forearm level, left arm, sequela
S56.999A@Inj unsp musc/fasc/tend at forearm level, unsp arm, init
S56.999D@Inj unsp musc/fasc/tend at forearm level, unsp arm, subs
S56.999S@Inj unsp musc/fasc/tend at forearm level, unsp arm, sequela
S57.00XA@Crushing injury of unspecified elbow, initial encounter
S57.00XD@Crushing injury of unspecified elbow, subsequent encounter
S57.00XS@Crushing injury of unspecified elbow, sequela
S57.01XA@Crushing injury of right elbow, initial encounter
S57.01XD@Crushing injury of right elbow, subsequent encounter
S57.01XS@Crushing injury of right elbow, sequela
S57.02XA@Crushing injury of left elbow, initial encounter
S57.02XD@Crushing injury of left elbow, subsequent encounter
S57.02XS@Crushing injury of left elbow, sequela
S57.80XA@Crushing injury of unspecified forearm, initial encounter
S57.80XD@Crushing injury of unspecified forearm, subsequent encounter
S57.80XS@Crushing injury of unspecified forearm, sequela
S57.81XA@Crushing injury of right forearm, initial encounter
S57.81XD@Crushing injury of right forearm, subsequent encounter
S57.81XS@Crushing injury of right forearm, sequela
S57.82XA@Crushing injury of left forearm, initial encounter
S57.82XD@Crushing injury of left forearm, subsequent encounter
S57.82XS@Crushing injury of left forearm, sequela
S58.011A@Complete traumatic amp at elbow level, right arm, init
S58.011D@Complete traumatic amp at elbow level, right arm, subs
S58.011S@Complete traumatic amp at elbow level, right arm, sequela
S58.012A@Complete traumatic amputation at elbow level, left arm, init
S58.012D@Complete traumatic amputation at elbow level, left arm, subs
S58.012S@Complete traumatic amp at elbow level, left arm, sequela
S58.019A@Complete traumatic amputation at elbow level, unsp arm, init
S58.019D@Complete traumatic amputation at elbow level, unsp arm, subs
S58.019S@Complete traumatic amp at elbow level, unsp arm, sequela
S58.021A@Partial traumatic amputation at elbow level, right arm, init
S58.021D@Partial traumatic amputation at elbow level, right arm, subs
S58.021S@Partial traumatic amp at elbow level, right arm, sequela
S58.022A@Partial traumatic amputation at elbow level, left arm, init
S58.022D@Partial traumatic amputation at elbow level, left arm, subs
S58.022S@Partial traumatic amp at elbow level, left arm, sequela
S58.029A@Partial traumatic amputation at elbow level, unsp arm, init
S58.029D@Partial traumatic amputation at elbow level, unsp arm, subs
S58.029S@Partial traumatic amp at elbow level, unsp arm, sequela
S58.111A@Complete traum amp at lev betw elbow and wrist, r arm, init
S58.111D@Complete traum amp at lev betw elbow and wrist, r arm, subs
S58.111S@Complete traum amp at lev betw elbow and wrist, r arm, sqla
S58.112A@Complete traum amp at lev betw elbow and wrs, left arm, init
S58.112D@Complete traum amp at lev betw elbow and wrs, left arm, subs
S58.112S@Complete traum amp at lev betw elbow and wrs, left arm, sqla
S58.119A@Complete traum amp at lev betw elbow and wrs, unsp arm, init
S58.119D@Complete traum amp at lev betw elbow and wrs, unsp arm, subs
S58.119S@Complete traum amp at lev betw elbow and wrs, unsp arm, sqla
