S60.00XA@Contusion of unsp finger without damage to nail, init encntr
S63.91XD@Sprain of unsp part of right wrist and hand, subs encntr
S63.91XS@Sprain of unspecified part of right wrist and hand, sequela
S63.92XA@Sprain of unsp part of left wrist and hand, init encntr
S63.92XD@Sprain of unsp part of left wrist and hand, subs encntr
S63.92XS@Sprain of unspecified part of left wrist and hand, sequela
S64.00XA@Injury of ulnar nerve at wrs/hnd lv of unsp arm, init
S64.00XD@Injury of ulnar nerve at wrs/hnd lv of unsp arm, subs
S64.00XS@Injury of ulnar nerve at wrs/hnd lv of unsp arm, sequela
S64.01XA@Injury of ulnar nerve at wrs/hnd lv of right arm, init
S64.01XD@Injury of ulnar nerve at wrs/hnd lv of right arm, subs
S64.01XS@Injury of ulnar nerve at wrs/hnd lv of right arm, sequela
S64.02XA@Injury of ulnar nerve at wrs/hnd lv of left arm, init
S64.02XD@Injury of ulnar nerve at wrs/hnd lv of left arm, subs
S64.02XS@Injury of ulnar nerve at wrs/hnd lv of left arm, sequela
S64.10XA@Injury of median nerve at wrs/hnd lv of unsp arm, init
S64.10XD@Injury of median nerve at wrs/hnd lv of unsp arm, subs
S64.10XS@Injury of median nerve at wrs/hnd lv of unsp arm, sequela
S64.11XA@Injury of median nerve at wrs/hnd lv of right arm, init
S64.11XD@Injury of median nerve at wrs/hnd lv of right arm, subs
S64.11XS@Injury of median nerve at wrs/hnd lv of right arm, sequela
S64.12XA@Injury of median nerve at wrs/hnd lv of left arm, init
S64.12XD@Injury of median nerve at wrs/hnd lv of left arm, subs
S64.12XS@Injury of median nerve at wrs/hnd lv of left arm, sequela
S64.20XA@Injury of radial nerve at wrs/hnd lv of unsp arm, init
S64.20XD@Injury of radial nerve at wrs/hnd lv of unsp arm, subs
S64.20XS@Injury of radial nerve at wrs/hnd lv of unsp arm, sequela
S64.21XA@Injury of radial nerve at wrs/hnd lv of right arm, init
S64.21XD@Injury of radial nerve at wrs/hnd lv of right arm, subs
S64.21XS@Injury of radial nerve at wrs/hnd lv of right arm, sequela
S64.22XA@Injury of radial nerve at wrs/hnd lv of left arm, init
S64.22XD@Injury of radial nerve at wrs/hnd lv of left arm, subs
S64.22XS@Injury of radial nerve at wrs/hnd lv of left arm, sequela
S64.30XA@Injury of digital nerve of unspecified thumb, init encntr
S64.30XD@Injury of digital nerve of unspecified thumb, subs encntr
S64.30XS@Injury of digital nerve of unspecified thumb, sequela
S64.31XA@Injury of digital nerve of right thumb, initial encounter
S64.31XD@Injury of digital nerve of right thumb, subsequent encounter
S64.31XS@Injury of digital nerve of right thumb, sequela
S64.32XA@Injury of digital nerve of left thumb, initial encounter
S64.32XD@Injury of digital nerve of left thumb, subsequent encounter
S64.32XS@Injury of digital nerve of left thumb, sequela
S64.40XA@Injury of digital nerve of unspecified finger, init encntr
S64.40XD@Injury of digital nerve of unspecified finger, subs encntr
S64.40XS@Injury of digital nerve of unspecified finger, sequela
S64.490A@Injury of digital nerve of right index finger, init encntr
S64.490D@Injury of digital nerve of right index finger, subs encntr
S64.490S@Injury of digital nerve of right index finger, sequela
S64.491A@Injury of digital nerve of left index finger, init encntr
S64.491D@Injury of digital nerve of left index finger, subs encntr
S64.491S@Injury of digital nerve of left index finger, sequela
S64.492A@Injury of digital nerve of right middle finger, init encntr
S64.492D@Injury of digital nerve of right middle finger, subs encntr
S64.492S@Injury of digital nerve of right middle finger, sequela
S64.493A@Injury of digital nerve of left middle finger, init encntr
S64.493D@Injury of digital nerve of left middle finger, subs encntr
S64.493S@Injury of digital nerve of left middle finger, sequela
S64.494A@Injury of digital nerve of right ring finger, init encntr
S64.494D@Injury of digital nerve of right ring finger, subs encntr
S64.494S@Injury of digital nerve of right ring finger, sequela
S64.495A@Injury of digital nerve of left ring finger, init encntr
S64.495D@Injury of digital nerve of left ring finger, subs encntr
S64.495S@Injury of digital nerve of left ring finger, sequela
S64.496A@Injury of digital nerve of right little finger, init encntr
S64.496D@Injury of digital nerve of right little finger, subs encntr
S64.496S@Injury of digital nerve of right little finger, sequela
S64.497A@Injury of digital nerve of left little finger, init encntr
S64.497D@Injury of digital nerve of left little finger, subs encntr
S64.497S@Injury of digital nerve of left little finger, sequela
S64.498A@Injury of digital nerve of other finger, initial encounter
S64.498D@Injury of digital nerve of other finger, subs encntr
S64.498S@Injury of digital nerve of other finger, sequela
S64.8X1A@Injury of nerves at wrist and hand level of right arm, init
S64.8X1D@Injury of nerves at wrist and hand level of right arm, subs
S64.8X1S@Injury of nerves at wrs/hnd lv of right arm, sequela
S64.8X2A@Injury of nerves at wrist and hand level of left arm, init
S64.8X2D@Injury of nerves at wrist and hand level of left arm, subs
S64.8X2S@Injury of nerves at wrs/hnd lv of left arm, sequela
S64.8X9A@Injury of nerves at wrist and hand level of unsp arm, init
S64.8X9D@Injury of nerves at wrist and hand level of unsp arm, subs
S64.8X9S@Injury of nerves at wrs/hnd lv of unsp arm, sequela
S64.90XA@Injury of unsp nerve at wrs/hnd lv of unsp arm, init
S64.90XD@Injury of unsp nerve at wrs/hnd lv of unsp arm, subs
S64.90XS@Injury of unsp nerve at wrs/hnd lv of unsp arm, sequela
S64.91XA@Injury of unsp nerve at wrs/hnd lv of right arm, init
S64.91XD@Injury of unsp nerve at wrs/hnd lv of right arm, subs
S64.91XS@Injury of unsp nerve at wrs/hnd lv of right arm, sequela
S64.92XA@Injury of unsp nerve at wrs/hnd lv of left arm, init
S64.92XD@Injury of unsp nerve at wrs/hnd lv of left arm, subs
S64.92XS@Injury of unsp nerve at wrs/hnd lv of left arm, sequela
S65.001A@Unsp injury of ulnar artery at wrs/hnd lv of right arm, init
S65.001D@Unsp injury of ulnar artery at wrs/hnd lv of right arm, subs
S65.001S@Unsp injury of ulnar art at wrs/hnd lv of right arm, sequela
S65.002A@Unsp injury of ulnar artery at wrs/hnd lv of left arm, init
S65.002D@Unsp injury of ulnar artery at wrs/hnd lv of left arm, subs
S65.002S@Unsp injury of ulnar art at wrs/hnd lv of left arm, sequela
S65.009A@Unsp injury of ulnar artery at wrs/hnd lv of unsp arm, init
S65.009D@Unsp injury of ulnar artery at wrs/hnd lv of unsp arm, subs
S65.009S@Unsp injury of ulnar art at wrs/hnd lv of unsp arm, sequela
S65.011A@Laceration of ulnar artery at wrs/hnd lv of right arm, init
S65.011D@Laceration of ulnar artery at wrs/hnd lv of right arm, subs
S65.011S@Lacerat ulnar artery at wrs/hnd lv of right arm, sequela
S65.012A@Laceration of ulnar artery at wrs/hnd lv of left arm, init
S65.012D@Laceration of ulnar artery at wrs/hnd lv of left arm, subs
S65.012S@Lacerat ulnar artery at wrs/hnd lv of left arm, sequela
S65.019A@Laceration of ulnar artery at wrs/hnd lv of unsp arm, init
S65.019D@Laceration of ulnar artery at wrs/hnd lv of unsp arm, subs
S65.019S@Lacerat ulnar artery at wrs/hnd lv of unsp arm, sequela
S65.091A@Inj ulnar artery at wrist and hand level of right arm, init
S65.091D@Inj ulnar artery at wrist and hand level of right arm, subs
S65.091S@Inj ulnar artery at wrs/hnd lv of right arm, sequela
S65.092A@Inj ulnar artery at wrist and hand level of left arm, init
S65.092D@Inj ulnar artery at wrist and hand level of left arm, subs
S65.092S@Inj ulnar artery at wrs/hnd lv of left arm, sequela
S65.099A@Inj ulnar artery at wrist and hand level of unsp arm, init
S65.099D@Inj ulnar artery at wrist and hand level of unsp arm, subs
S65.099S@Inj ulnar artery at wrs/hnd lv of unsp arm, sequela
S65.101A@Unsp injury of radial art at wrs/hnd lv of right arm, init
S65.101D@Unsp injury of radial art at wrs/hnd lv of right arm, subs
S65.101S@Unsp inj radial art at wrs/hnd lv of right arm, sequela
S65.102A@Unsp injury of radial artery at wrs/hnd lv of left arm, init
S65.102D@Unsp injury of radial artery at wrs/hnd lv of left arm, subs
S65.102S@Unsp injury of radial art at wrs/hnd lv of left arm, sequela
S65.109A@Unsp injury of radial artery at wrs/hnd lv of unsp arm, init
S65.109D@Unsp injury of radial artery at wrs/hnd lv of unsp arm, subs
S65.109S@Unsp injury of radial art at wrs/hnd lv of unsp arm, sequela
S65.111A@Laceration of radial artery at wrs/hnd lv of right arm, init
S65.111D@Laceration of radial artery at wrs/hnd lv of right arm, subs
S65.111S@Lacerat radial artery at wrs/hnd lv of right arm, sequela
S65.112A@Laceration of radial artery at wrs/hnd lv of left arm, init
S65.112D@Laceration of radial artery at wrs/hnd lv of left arm, subs
S65.112S@Lacerat radial artery at wrs/hnd lv of left arm, sequela
S65.119A@Laceration of radial artery at wrs/hnd lv of unsp arm, init
S65.119D@Laceration of radial artery at wrs/hnd lv of unsp arm, subs
S65.119S@Lacerat radial artery at wrs/hnd lv of unsp arm, sequela
S65.191A@Inj radial artery at wrist and hand level of right arm, init
S65.191D@Inj radial artery at wrist and hand level of right arm, subs
S65.191S@Inj radial artery at wrs/hnd lv of right arm, sequela
S65.192A@Inj radial artery at wrist and hand level of left arm, init
S65.192D@Inj radial artery at wrist and hand level of left arm, subs
S65.192S@Inj radial artery at wrs/hnd lv of left arm, sequela
S65.199A@Inj radial artery at wrist and hand level of unsp arm, init
S65.199D@Inj radial artery at wrist and hand level of unsp arm, subs
S65.199S@Inj radial artery at wrs/hnd lv of unsp arm, sequela
S65.201A@Unsp injury of superficial palmar arch of right hand, init
S65.201D@Unsp injury of superficial palmar arch of right hand, subs
S65.201S@Unsp injury of superfic palmar arch of right hand, sequela
S65.202A@Unsp injury of superficial palmar arch of left hand, init
S65.202D@Unsp injury of superficial palmar arch of left hand, subs
S65.202S@Unsp injury of superficial palmar arch of left hand, sequela
S65.209A@Unsp injury of superficial palmar arch of unsp hand, init
S65.209D@Unsp injury of superficial palmar arch of unsp hand, subs
S65.209S@Unsp injury of superficial palmar arch of unsp hand, sequela
S65.211A@Laceration of superficial palmar arch of right hand, init
S65.211D@Laceration of superficial palmar arch of right hand, subs
S65.211S@Laceration of superficial palmar arch of right hand, sequela
S65.212A@Laceration of superficial palmar arch of left hand, init
S65.212D@Laceration of superficial palmar arch of left hand, subs
S65.212S@Laceration of superficial palmar arch of left hand, sequela
S65.219A@Laceration of superficial palmar arch of unsp hand, init
S65.219D@Laceration of superficial palmar arch of unsp hand, subs
S65.219S@Laceration of superficial palmar arch of unsp hand, sequela
S65.291A@Inj superficial palmar arch of right hand, init encntr
S65.291D@Inj superficial palmar arch of right hand, subs encntr
S65.291S@Oth injury of superficial palmar arch of right hand, sequela
S65.292A@Inj superficial palmar arch of left hand, init encntr
S65.292D@Inj superficial palmar arch of left hand, subs encntr
S65.292S@Oth injury of superficial palmar arch of left hand, sequela
S65.299A@Inj superficial palmar arch of unsp hand, init encntr
S65.299D@Inj superficial palmar arch of unsp hand, subs encntr
S65.299S@Oth injury of superficial palmar arch of unsp hand, sequela
S65.301A@Unsp injury of deep palmar arch of right hand, init encntr
S65.301D@Unsp injury of deep palmar arch of right hand, subs encntr
S65.301S@Unsp injury of deep palmar arch of right hand, sequela
S65.302A@Unsp injury of deep palmar arch of left hand, init encntr
S65.302D@Unsp injury of deep palmar arch of left hand, subs encntr
S65.302S@Unspecified injury of deep palmar arch of left hand, sequela
S65.309A@Unsp injury of deep palmar arch of unsp hand, init encntr
S65.309D@Unsp injury of deep palmar arch of unsp hand, subs encntr
S65.309S@Unsp injury of deep palmar arch of unspecified hand, sequela
S65.311A@Laceration of deep palmar arch of right hand, init encntr
S65.311D@Laceration of deep palmar arch of right hand, subs encntr
S65.311S@Laceration of deep palmar arch of right hand, sequela
S65.312A@Laceration of deep palmar arch of left hand, init encntr
S65.312D@Laceration of deep palmar arch of left hand, subs encntr
S65.312S@Laceration of deep palmar arch of left hand, sequela
S65.319A@Laceration of deep palmar arch of unsp hand, init encntr
S65.319D@Laceration of deep palmar arch of unsp hand, subs encntr
S65.319S@Laceration of deep palmar arch of unspecified hand, sequela
S65.391A@Oth injury of deep palmar arch of right hand, init encntr
S65.391D@Oth injury of deep palmar arch of right hand, subs encntr
S65.391S@Oth injury of deep palmar arch of right hand, sequela
S65.392A@Oth injury of deep palmar arch of left hand, init encntr
S65.392D@Oth injury of deep palmar arch of left hand, subs encntr
S65.392S@Oth injury of deep palmar arch of left hand, sequela
S65.399A@Oth injury of deep palmar arch of unsp hand, init encntr
S65.399D@Oth injury of deep palmar arch of unsp hand, subs encntr
S65.399S@Oth injury of deep palmar arch of unspecified hand, sequela
S65.401A@Unsp injury of blood vessel of right thumb, init encntr
S65.401D@Unsp injury of blood vessel of right thumb, subs encntr
S65.401S@Unspecified injury of blood vessel of right thumb, sequela
S65.402A@Unsp injury of blood vessel of left thumb, init encntr
S65.402D@Unsp injury of blood vessel of left thumb, subs encntr
S65.402S@Unspecified injury of blood vessel of left thumb, sequela
S65.409A@Unsp injury of blood vessel of unsp thumb, init encntr
S65.409D@Unsp injury of blood vessel of unsp thumb, subs encntr
S65.409S@Unsp injury of blood vessel of unspecified thumb, sequela
S65.411A@Laceration of blood vessel of right thumb, initial encounter
S65.411D@Laceration of blood vessel of right thumb, subs encntr
S65.411S@Laceration of blood vessel of right thumb, sequela
S65.412A@Laceration of blood vessel of left thumb, initial encounter
S65.412D@Laceration of blood vessel of left thumb, subs encntr
S65.412S@Laceration of blood vessel of left thumb, sequela
S65.419A@Laceration of blood vessel of unspecified thumb, init encntr
S65.419D@Laceration of blood vessel of unspecified thumb, subs encntr
S65.419S@Laceration of blood vessel of unspecified thumb, sequela
S65.491A@Oth injury of blood vessel of right thumb, init encntr
S65.491D@Oth injury of blood vessel of right thumb, subs encntr
S65.491S@Oth injury of blood vessel of right thumb, sequela
S65.492A@Oth injury of blood vessel of left thumb, init encntr
S65.492D@Oth injury of blood vessel of left thumb, subs encntr
S65.492S@Oth injury of blood vessel of left thumb, sequela
S65.499A@Oth injury of blood vessel of unspecified thumb, init encntr
S65.499D@Oth injury of blood vessel of unspecified thumb, subs encntr
S65.499S@Oth injury of blood vessel of unspecified thumb, sequela
S65.500A@Unsp injury of blood vessel of right index finger, init
S65.500D@Unsp injury of blood vessel of right index finger, subs
S65.500S@Unsp injury of blood vessel of right index finger, sequela
S65.501A@Unsp injury of blood vessel of left index finger, init
S65.501D@Unsp injury of blood vessel of left index finger, subs
S65.501S@Unsp injury of blood vessel of left index finger, sequela
S65.502A@Unsp injury of blood vessel of right middle finger, init
S65.502D@Unsp injury of blood vessel of right middle finger, subs
S65.502S@Unsp injury of blood vessel of right middle finger, sequela
S65.503A@Unsp injury of blood vessel of left middle finger, init
S65.503D@Unsp injury of blood vessel of left middle finger, subs
S65.503S@Unsp injury of blood vessel of left middle finger, sequela
S65.504A@Unsp injury of blood vessel of right ring finger, init
S65.504D@Unsp injury of blood vessel of right ring finger, subs
S65.504S@Unsp injury of blood vessel of right ring finger, sequela
S65.505A@Unsp injury of blood vessel of left ring finger, init encntr
S65.505D@Unsp injury of blood vessel of left ring finger, subs encntr
S65.505S@Unsp injury of blood vessel of left ring finger, sequela
S65.506A@Unsp injury of blood vessel of right little finger, init
S65.506D@Unsp injury of blood vessel of right little finger, subs
S65.506S@Unsp injury of blood vessel of right little finger, sequela
S65.507A@Unsp injury of blood vessel of left little finger, init
S65.507D@Unsp injury of blood vessel of left little finger, subs
S65.507S@Unsp injury of blood vessel of left little finger, sequela
S65.508A@Unsp injury of blood vessel of other finger, init encntr
S65.508D@Unsp injury of blood vessel of other finger, subs encntr
S65.508S@Unspecified injury of blood vessel of other finger, sequela
S65.509A@Unsp injury of blood vessel of unsp finger, init encntr
S65.509D@Unsp injury of blood vessel of unsp finger, subs encntr
S65.509S@Unsp injury of blood vessel of unspecified finger, sequela
S65.510A@Laceration of blood vessel of right index finger, init
S65.510D@Laceration of blood vessel of right index finger, subs
S65.510S@Laceration of blood vessel of right index finger, sequela
S65.511A@Laceration of blood vessel of left index finger, init encntr
S65.511D@Laceration of blood vessel of left index finger, subs encntr
S65.511S@Laceration of blood vessel of left index finger, sequela
S65.512A@Laceration of blood vessel of right middle finger, init
S65.512D@Laceration of blood vessel of right middle finger, subs
S65.512S@Laceration of blood vessel of right middle finger, sequela
S65.513A@Laceration of blood vessel of left middle finger, init
S65.513D@Laceration of blood vessel of left middle finger, subs
S65.513S@Laceration of blood vessel of left middle finger, sequela
S65.514A@Laceration of blood vessel of right ring finger, init encntr
S65.514D@Laceration of blood vessel of right ring finger, subs encntr
S65.514S@Laceration of blood vessel of right ring finger, sequela
S65.515A@Laceration of blood vessel of left ring finger, init encntr
S65.515D@Laceration of blood vessel of left ring finger, subs encntr
S65.515S@Laceration of blood vessel of left ring finger, sequela
S65.516A@Laceration of blood vessel of right little finger, init
S65.516D@Laceration of blood vessel of right little finger, subs
S65.516S@Laceration of blood vessel of right little finger, sequela
S65.517A@Laceration of blood vessel of left little finger, init
S65.517D@Laceration of blood vessel of left little finger, subs
S65.517S@Laceration of blood vessel of left little finger, sequela
S65.518A@Laceration of blood vessel of other finger, init encntr
S65.518D@Laceration of blood vessel of other finger, subs encntr
S65.518S@Laceration of blood vessel of other finger, sequela
S65.519A@Laceration of blood vessel of unsp finger, init encntr
S65.519D@Laceration of blood vessel of unsp finger, subs encntr
S65.519S@Laceration of blood vessel of unspecified finger, sequela
S65.590A@Inj blood vessel of right index finger, init encntr
S65.590D@Inj blood vessel of right index finger, subs encntr
S65.590S@Oth injury of blood vessel of right index finger, sequela
S65.591A@Oth injury of blood vessel of left index finger, init encntr
S65.591D@Oth injury of blood vessel of left index finger, subs encntr
S65.591S@Oth injury of blood vessel of left index finger, sequela
S65.592A@Inj blood vessel of right middle finger, init encntr
S65.592D@Inj blood vessel of right middle finger, subs encntr
S65.592S@Oth injury of blood vessel of right middle finger, sequela
S65.593A@Inj blood vessel of left middle finger, init encntr
S65.593D@Inj blood vessel of left middle finger, subs encntr
S65.593S@Oth injury of blood vessel of left middle finger, sequela
S65.594A@Oth injury of blood vessel of right ring finger, init encntr
S65.594D@Oth injury of blood vessel of right ring finger, subs encntr
S65.594S@Oth injury of blood vessel of right ring finger, sequela
S65.595A@Oth injury of blood vessel of left ring finger, init encntr
S65.595D@Oth injury of blood vessel of left ring finger, subs encntr
S65.595S@Oth injury of blood vessel of left ring finger, sequela
S65.596A@Inj blood vessel of right little finger, init encntr
S65.596D@Inj blood vessel of right little finger, subs encntr
S65.596S@Oth injury of blood vessel of right little finger, sequela
S65.597A@Inj blood vessel of left little finger, init encntr
S65.597D@Inj blood vessel of left little finger, subs encntr
S65.597S@Oth injury of blood vessel of left little finger, sequela
S65.598A@Oth injury of blood vessel of other finger, init encntr
S65.598D@Oth injury of blood vessel of other finger, subs encntr
S65.598S@Oth injury of blood vessel of other finger, sequela
S65.599A@Oth injury of blood vessel of unsp finger, init encntr
S65.599D@Oth injury of blood vessel of unsp finger, subs encntr
S65.599S@Oth injury of blood vessel of unspecified finger, sequela
S65.801A@Unsp inj blood vessels at wrs/hnd lv of right arm, init
S65.801D@Unsp inj blood vessels at wrs/hnd lv of right arm, subs
S65.801S@Unsp inj blood vessels at wrs/hnd lv of right arm, sequela
S65.802A@Unsp injury of blood vessels at wrs/hnd lv of left arm, init
S65.802D@Unsp injury of blood vessels at wrs/hnd lv of left arm, subs
S65.802S@Unsp inj blood vessels at wrs/hnd lv of left arm, sequela
S65.809A@Unsp injury of blood vessels at wrs/hnd lv of unsp arm, init
S65.809D@Unsp injury of blood vessels at wrs/hnd lv of unsp arm, subs
S65.809S@Unsp inj blood vessels at wrs/hnd lv of unsp arm, sequela
S65.811A@Laceration of blood vessels at wrs/hnd lv of right arm, init
S65.811D@Laceration of blood vessels at wrs/hnd lv of right arm, subs
S65.811S@Lacerat blood vessels at wrs/hnd lv of right arm, sequela
S65.812A@Laceration of blood vessels at wrs/hnd lv of left arm, init
S65.812D@Laceration of blood vessels at wrs/hnd lv of left arm, subs
S65.812S@Lacerat blood vessels at wrs/hnd lv of left arm, sequela
S65.819A@Laceration of blood vessels at wrs/hnd lv of unsp arm, init
S65.819D@Laceration of blood vessels at wrs/hnd lv of unsp arm, subs
S65.819S@Lacerat blood vessels at wrs/hnd lv of unsp arm, sequela
S65.891A@Inj oth blood vessels at wrs/hnd lv of right arm, init
S65.891D@Inj oth blood vessels at wrs/hnd lv of right arm, subs
S65.891S@Inj oth blood vessels at wrs/hnd lv of right arm, sequela
S65.892A@Inj oth blood vessels at wrs/hnd lv of left arm, init
S65.892D@Inj oth blood vessels at wrs/hnd lv of left arm, subs
S65.892S@Inj oth blood vessels at wrs/hnd lv of left arm, sequela
S65.899A@Inj oth blood vessels at wrs/hnd lv of unsp arm, init
S65.899D@Inj oth blood vessels at wrs/hnd lv of unsp arm, subs
S65.899S@Inj oth blood vessels at wrs/hnd lv of unsp arm, sequela
S65.901A@Unsp inj unsp blood vess at wrs/hnd lv of right arm, init
S65.901D@Unsp inj unsp blood vess at wrs/hnd lv of right arm, subs
S65.901S@Unsp inj unsp blood vess at wrs/hnd lv of right arm, sequela
S65.902A@Unsp inj unsp blood vess at wrs/hnd lv of left arm, init
S65.902D@Unsp inj unsp blood vess at wrs/hnd lv of left arm, subs
S65.902S@Unsp inj unsp blood vess at wrs/hnd lv of left arm, sequela
S65.909A@Unsp inj unsp blood vess at wrs/hnd lv of unsp arm, init
S65.909D@Unsp inj unsp blood vess at wrs/hnd lv of unsp arm, subs
S65.909S@Unsp inj unsp blood vess at wrs/hnd lv of unsp arm, sequela
S65.911A@Lacerat unsp blood vessel at wrs/hnd lv of right arm, init
S65.911D@Lacerat unsp blood vessel at wrs/hnd lv of right arm, subs
S65.911S@Lacerat unsp blood vess at wrs/hnd lv of right arm, sequela
S65.912A@Lacerat unsp blood vessel at wrs/hnd lv of left arm, init
S65.912D@Lacerat unsp blood vessel at wrs/hnd lv of left arm, subs
S65.912S@Lacerat unsp blood vessel at wrs/hnd lv of left arm, sequela
S65.919A@Lacerat unsp blood vessel at wrs/hnd lv of unsp arm, init
S65.919D@Lacerat unsp blood vessel at wrs/hnd lv of unsp arm, subs
S65.919S@Lacerat unsp blood vessel at wrs/hnd lv of unsp arm, sequela
S65.991A@Inj unsp blood vessel at wrist and hand of right arm, init
S65.991D@Inj unsp blood vessel at wrist and hand of right arm, subs
S65.991S@Inj unsp blood vessel at wrs/hnd of right arm, sequela
S65.992A@Inj unsp blood vessel at wrist and hand of left arm, init
S65.992D@Inj unsp blood vessel at wrist and hand of left arm, subs
S65.992S@Inj unsp blood vessel at wrist and hand of left arm, sequela
S65.999A@Inj unsp blood vessel at wrist and hand of unsp arm, init
S65.999D@Inj unsp blood vessel at wrist and hand of unsp arm, subs
S65.999S@Inj unsp blood vessel at wrist and hand of unsp arm, sequela
S66.001A@Unsp inj long flxr musc/fasc/tend r thm at wrs/hnd lv, init
S66.001D@Unsp inj long flxr musc/fasc/tend r thm at wrs/hnd lv, subs
S66.001S@Unsp inj long flxr musc/fasc/tend r thm at wrs/hnd lv, sqla
S66.002A@Unsp inj long flxr musc/fasc/tend l thm at wrs/hnd lv, init
S66.002D@Unsp inj long flxr musc/fasc/tend l thm at wrs/hnd lv, subs
S66.002S@Unsp inj long flxr musc/fasc/tend l thm at wrs/hnd lv, sqla
S66.009A@Unsp inj long flexor musc/fasc/tend thmb at wrs/hnd lv, init
S66.009D@Unsp inj long flexor musc/fasc/tend thmb at wrs/hnd lv, subs
S66.009S@Unsp inj long flexor musc/fasc/tend thmb at wrs/hnd lv, sqla
S66.011A@Strain long flexor musc/fasc/tend r thm at wrs/hnd lv, init
S66.011D@Strain long flexor musc/fasc/tend r thm at wrs/hnd lv, subs
S66.011S@Strain long flexor musc/fasc/tend r thm at wrs/hnd lv, sqla
S66.012A@Strain long flexor musc/fasc/tend l thm at wrs/hnd lv, init
S66.012D@Strain long flexor musc/fasc/tend l thm at wrs/hnd lv, subs
S66.012S@Strain long flexor musc/fasc/tend l thm at wrs/hnd lv, sqla
S66.019A@Strain long flexor musc/fasc/tend thmb at wrs/hnd lv, init
S66.019D@Strain long flexor musc/fasc/tend thmb at wrs/hnd lv, subs
S66.019S@Strain long flexor musc/fasc/tend thmb at wrs/hnd lv, sqla
S66.021A@Lacerat long flexor musc/fasc/tend r thm at wrs/hnd lv, init
S66.021D@Lacerat long flexor musc/fasc/tend r thm at wrs/hnd lv, subs
S66.021S@Lacerat long flexor musc/fasc/tend r thm at wrs/hnd lv, sqla
S66.022A@Lacerat long flexor musc/fasc/tend l thm at wrs/hnd lv, init
S66.022D@Lacerat long flexor musc/fasc/tend l thm at wrs/hnd lv, subs
S66.022S@Lacerat long flexor musc/fasc/tend l thm at wrs/hnd lv, sqla
S66.029A@Lacerat long flexor musc/fasc/tend thmb at wrs/hnd lv, init
S66.029D@Lacerat long flexor musc/fasc/tend thmb at wrs/hnd lv, subs
S66.029S@Lacerat long flexor musc/fasc/tend thmb at wrs/hnd lv, sqla
S66.091A@Inj long flexor musc/fasc/tend r thm at wrs/hnd lv, init
S66.091D@Inj long flexor musc/fasc/tend r thm at wrs/hnd lv, subs
S66.091S@Inj long flexor musc/fasc/tend r thm at wrs/hnd lv, sequela
S66.092A@Inj long flexor musc/fasc/tend l thm at wrs/hnd lv, init
S66.092D@Inj long flexor musc/fasc/tend l thm at wrs/hnd lv, subs
S66.092S@Inj long flexor musc/fasc/tend l thm at wrs/hnd lv, sequela
S66.099A@Inj long flexor musc/fasc/tend thmb at wrs/hnd lv, init
S66.099D@Inj long flexor musc/fasc/tend thmb at wrs/hnd lv, subs
S66.099S@Inj long flexor musc/fasc/tend thmb at wrs/hnd lv, sequela
S66.100A@Unsp inj flxr musc/fasc/tend r idx fngr at wrs/hnd lv, init
S66.100D@Unsp inj flxr musc/fasc/tend r idx fngr at wrs/hnd lv, subs
S66.100S@Unsp inj flxr musc/fasc/tend r idx fngr at wrs/hnd lv, sqla
S66.101A@Unsp inj flxr musc/fasc/tend l idx fngr at wrs/hnd lv, init
S66.101D@Unsp inj flxr musc/fasc/tend l idx fngr at wrs/hnd lv, subs
S66.101S@Unsp inj flxr musc/fasc/tend l idx fngr at wrs/hnd lv, sqla
S66.102A@Unsp inj flxr musc/fasc/tend r mid fngr at wrs/hnd lv, init
S66.102D@Unsp inj flxr musc/fasc/tend r mid fngr at wrs/hnd lv, subs
S66.102S@Unsp inj flxr musc/fasc/tend r mid fngr at wrs/hnd lv, sqla
S66.103A@Unsp inj flxr musc/fasc/tend l mid fngr at wrs/hnd lv, init
S66.103D@Unsp inj flxr musc/fasc/tend l mid fngr at wrs/hnd lv, subs
S66.103S@Unsp inj flxr musc/fasc/tend l mid fngr at wrs/hnd lv, sqla
S66.104A@Unsp inj flxr musc/fasc/tend r rng fngr at wrs/hnd lv, init
S66.104D@Unsp inj flxr musc/fasc/tend r rng fngr at wrs/hnd lv, subs
S66.104S@Unsp inj flxr musc/fasc/tend r rng fngr at wrs/hnd lv, sqla
S66.105A@Unsp inj flxr musc/fasc/tend l rng fngr at wrs/hnd lv, init
S66.105D@Unsp inj flxr musc/fasc/tend l rng fngr at wrs/hnd lv, subs
S66.105S@Unsp inj flxr musc/fasc/tend l rng fngr at wrs/hnd lv, sqla
S66.106A@Unsp inj flxr musc/fasc/tend r lit fngr at wrs/hnd lv, init
S66.106D@Unsp inj flxr musc/fasc/tend r lit fngr at wrs/hnd lv, subs
S66.106S@Unsp inj flxr musc/fasc/tend r lit fngr at wrs/hnd lv, sqla
S66.107A@Unsp inj flxr musc/fasc/tend l lit fngr at wrs/hnd lv, init
S66.107D@Unsp inj flxr musc/fasc/tend l lit fngr at wrs/hnd lv, subs
S66.107S@Unsp inj flxr musc/fasc/tend l lit fngr at wrs/hnd lv, sqla
S66.108A@Unsp inj flexor musc/fasc/tend finger at wrs/hnd lv, init
S66.108D@Unsp inj flexor musc/fasc/tend finger at wrs/hnd lv, subs
