S40.011A@Contusion of right shoulder, initial encounter
S42.431A@Disp fx (avulsion) of lateral epicondyle of r humerus, init
S42.431B@Disp fx of lateral epicondyle of r humerus, init for opn fx
S42.431D@Disp fx of lateral epicondyl of r humer, 7thD
S42.431G@Disp fx of lateral epicondyl of r humer, 7thG
S42.431K@Disp fx of lateral epicondyl of r humer, 7thK
S42.431P@Disp fx of lateral epicondyl of r humer, 7thP
S42.431S@Disp fx of lateral epicondyle of r humerus, sequela
S42.432A@Disp fx (avulsion) of lateral epicondyle of l humerus, init
S42.432B@Disp fx of lateral epicondyle of l humerus, init for opn fx
S42.432D@Disp fx of lateral epicondyl of l humer, 7thD
S42.432G@Disp fx of lateral epicondyl of l humer, 7thG
S42.432K@Disp fx of lateral epicondyl of l humer, 7thK
S42.432P@Disp fx of lateral epicondyl of l humer, 7thP
S42.432S@Disp fx of lateral epicondyle of l humerus, sequela
S42.433A@Disp fx of lateral epicondyle of unsp humerus, init
S42.433B@Disp fx of lateral epicondyl of unsp humer, init for opn fx
S42.433D@Disp fx of lateral epicondyl of unsp humer, 7thD
S42.433G@Disp fx of lateral epicondyl of unsp humer, 7thG
S42.433K@Disp fx of lateral epicondyl of unsp humer, 7thK
S42.433P@Disp fx of lateral epicondyl of unsp humer, 7thP
S42.433S@Disp fx of lateral epicondyle of unsp humerus, sequela
S42.434A@Nondisp fx of lateral epicondyle of r humerus, init
S42.434B@Nondisp fx of lateral epicondyl of r humer, init for opn fx
S42.434D@Nondisp fx of lateral epicondyl of r humer, 7thD
S42.434G@Nondisp fx of lateral epicondyl of r humer, 7thG
S42.434K@Nondisp fx of lateral epicondyl of r humer, 7thK
S42.434P@Nondisp fx of lateral epicondyl of r humer, 7thP
S42.434S@Nondisp fx of lateral epicondyle of r humerus, sequela
S42.435A@Nondisp fx of lateral epicondyle of l humerus, init
S42.435B@Nondisp fx of lateral epicondyl of l humer, init for opn fx
S42.435D@Nondisp fx of lateral epicondyl of l humer, 7thD
S42.435G@Nondisp fx of lateral epicondyl of l humer, 7thG
S42.435K@Nondisp fx of lateral epicondyl of l humer, 7thK
S42.435P@Nondisp fx of lateral epicondyl of l humer, 7thP
S42.435S@Nondisp fx of lateral epicondyle of l humerus, sequela
S42.436A@Nondisp fx of lateral epicondyle of unsp humerus, init
S42.436B@Nondisp fx of lateral epicondyl of unsp humer, 7thB
S42.436D@Nondisp fx of lateral epicondyl of unsp humer, 7thD
S42.436G@Nondisp fx of lateral epicondyl of unsp humer, 7thG
S42.436K@Nondisp fx of lateral epicondyl of unsp humer, 7thK
S42.436P@Nondisp fx of lateral epicondyl of unsp humer, 7thP
S42.436S@Nondisp fx of lateral epicondyle of unsp humerus, sequela
S42.441A@Disp fx (avulsion) of medial epicondyle of r humerus, init
S42.441B@Disp fx of medial epicondyle of r humerus, init for opn fx
S42.441D@Disp fx of med epicondyl of r humer, 7thD
S42.441G@Disp fx of med epicondyl of r humer, 7thG
S42.441K@Disp fx of med epicondyl of r humer, subs for fx w nonunion
S42.441P@Disp fx of med epicondyl of r humer, subs for fx w malunion
S42.441S@Disp fx of medial epicondyle of r humerus, sequela
S42.442A@Disp fx (avulsion) of medial epicondyle of l humerus, init
S42.442B@Disp fx of medial epicondyle of l humerus, init for opn fx
S42.442D@Disp fx of med epicondyl of l humer, 7thD
S42.442G@Disp fx of med epicondyl of l humer, 7thG
S42.442K@Disp fx of med epicondyl of l humer, subs for fx w nonunion
S42.442P@Disp fx of med epicondyl of l humer, subs for fx w malunion
S42.442S@Disp fx of medial epicondyle of l humerus, sequela
S42.443A@Disp fx of medial epicondyle of unsp humerus, init
S42.443B@Disp fx of medial epicondyl of unsp humerus, init for opn fx
S42.443D@Disp fx of med epicondyl of unsp humer, 7thD
S42.443G@Disp fx of med epicondyl of unsp humer, 7thG
S42.443K@Disp fx of med epicondyl of unsp humer, 7thK
S42.443P@Disp fx of med epicondyl of unsp humer, 7thP
S42.443S@Disp fx of medial epicondyle of unsp humerus, sequela
S42.444A@Nondisp fx of medial epicondyle of r humerus, init
S42.444B@Nondisp fx of medial epicondyl of r humerus, init for opn fx
S42.444D@Nondisp fx of med epicondyl of r humer, 7thD
S42.444G@Nondisp fx of med epicondyl of r humer, 7thG
S42.444K@Nondisp fx of med epicondyl of r humer, 7thK
S42.444P@Nondisp fx of med epicondyl of r humer, 7thP
S42.444S@Nondisp fx of medial epicondyle of r humerus, sequela
S42.445A@Nondisp fx of medial epicondyle of l humerus, init
S42.445B@Nondisp fx of medial epicondyl of l humerus, init for opn fx
S42.445D@Nondisp fx of med epicondyl of l humer, 7thD
S42.445G@Nondisp fx of med epicondyl of l humer, 7thG
S42.445K@Nondisp fx of med epicondyl of l humer, 7thK
S42.445P@Nondisp fx of med epicondyl of l humer, 7thP
S42.445S@Nondisp fx of medial epicondyle of l humerus, sequela
S42.446A@Nondisp fx of medial epicondyle of unsp humerus, init
S42.446B@Nondisp fx of med epicondyl of unsp humer, init for opn fx
S42.446D@Nondisp fx of med epicondyl of unsp humer, 7thD
S42.446G@Nondisp fx of med epicondyl of unsp humer, 7thG
S42.446K@Nondisp fx of med epicondyl of unsp humer, 7thK
S42.446P@Nondisp fx of med epicondyl of unsp humer, 7thP
S42.446S@Nondisp fx of medial epicondyle of unsp humerus, sequela
S42.447A@Incarcerated fracture of medial epicondyl of r humerus, init
S42.447B@Incarcerated fx of med epicondyl of r humer, init for opn fx
S42.447D@Incarcerated fx of med epicondyl of r humer, 7thD
S42.447G@Incarcerated fx of med epicondyl of r humer, 7thG
S42.447K@Incarcerated fx of med epicondyl of r humer, 7thK
S42.447P@Incarcerated fx of med epicondyl of r humer, 7thP
S42.447S@Incarcerated fx of medial epicondyl of r humerus, sequela
S42.448A@Incarcerated fracture of medial epicondyl of l humerus, init
S42.448B@Incarcerated fx of med epicondyl of l humer, init for opn fx
S42.448D@Incarcerated fx of med epicondyl of l humer, 7thD
S42.448G@Incarcerated fx of med epicondyl of l humer, 7thG
S42.448K@Incarcerated fx of med epicondyl of l humer, 7thK
S42.448P@Incarcerated fx of med epicondyl of l humer, 7thP
S42.448S@Incarcerated fx of medial epicondyl of l humerus, sequela
S42.449A@Incarcerated fx of medial epicondyl of unsp humerus, init
S42.449B@Incarcerated fx of med epicondyl of unsp humer, 7thB
S42.449D@Incarcerated fx of med epicondyl of unsp humer, 7thD
S42.449G@Incarcerated fx of med epicondyl of unsp humer, 7thG
S42.449K@Incarcerated fx of med epicondyl of unsp humer, 7thK
S42.449P@Incarcerated fx of med epicondyl of unsp humer, 7thP
S42.449S@Incarcerated fx of medial epicondyl of unsp humerus, sequela
S42.451A@Disp fx of lateral condyle of right humerus, init
S42.451B@Disp fx of lateral condyle of right humerus, init for opn fx
S42.451D@Disp fx of lateral condyle of r humer, 7thD
S42.451G@Disp fx of lateral condyle of r humer, 7thG
S42.451K@Disp fx of lateral condyle of r humer, 7thK
S42.451P@Disp fx of lateral condyle of r humer, 7thP
S42.451S@Disp fx of lateral condyle of right humerus, sequela
S42.452A@Disp fx of lateral condyle of left humerus, init for clos fx
S42.452B@Disp fx of lateral condyle of left humerus, init for opn fx
S42.452D@Disp fx of lateral condyle of l humer, 7thD
S42.452G@Disp fx of lateral condyle of l humer, 7thG
S42.452K@Disp fx of lateral condyle of l humer, 7thK
S42.452P@Disp fx of lateral condyle of l humer, 7thP
S42.452S@Disp fx of lateral condyle of left humerus, sequela
S42.453A@Disp fx of lateral condyle of unsp humerus, init for clos fx
S42.453B@Disp fx of lateral condyle of unsp humerus, init for opn fx
S42.453D@Disp fx of lateral condyle of unsp humer, 7thD
S42.453G@Disp fx of lateral condyle of unsp humer, 7thG
S42.453K@Disp fx of lateral condyle of unsp humer, 7thK
S42.453P@Disp fx of lateral condyle of unsp humer, 7thP
S42.453S@Disp fx of lateral condyle of unspecified humerus, sequela
S42.454A@Nondisp fx of lateral condyle of right humerus, init
S42.454B@Nondisp fx of lateral condyle of r humerus, init for opn fx
S42.454D@Nondisp fx of lateral condyle of r humer, 7thD
S42.454G@Nondisp fx of lateral condyle of r humer, 7thG
S42.454K@Nondisp fx of lateral condyle of r humer, 7thK
S42.454P@Nondisp fx of lateral condyle of r humer, 7thP
S42.454S@Nondisp fx of lateral condyle of right humerus, sequela
S42.455A@Nondisp fx of lateral condyle of left humerus, init
S42.455B@Nondisp fx of lateral condyle of l humerus, init for opn fx
S42.455D@Nondisp fx of lateral condyle of l humer, 7thD
S42.455G@Nondisp fx of lateral condyle of l humer, 7thG
S42.455K@Nondisp fx of lateral condyle of l humer, 7thK
S42.455P@Nondisp fx of lateral condyle of l humer, 7thP
S42.455S@Nondisp fx of lateral condyle of left humerus, sequela
S42.456A@Nondisp fx of lateral condyle of unsp humerus, init
S42.456B@Nondisp fx of lateral condyle of unsp humer, init for opn fx
S42.456D@Nondisp fx of lateral condyle of unsp humer, 7thD
S42.456G@Nondisp fx of lateral condyle of unsp humer, 7thG
S42.456K@Nondisp fx of lateral condyle of unsp humer, 7thK
S42.456P@Nondisp fx of lateral condyle of unsp humer, 7thP
S42.456S@Nondisp fx of lateral condyle of unsp humerus, sequela
S42.461A@Disp fx of medial condyle of right humerus, init for clos fx
S42.461B@Disp fx of medial condyle of right humerus, init for opn fx
S42.461D@Disp fx of med condyle of r humer, subs for fx w routn heal
S42.461G@Disp fx of med condyle of r humer, subs for fx w delay heal
S42.461K@Disp fx of medial condyle of r humer, subs for fx w nonunion
S42.461P@Disp fx of medial condyle of r humer, subs for fx w malunion
S42.461S@Disp fx of medial condyle of right humerus, sequela
S42.462A@Disp fx of medial condyle of left humerus, init for clos fx
S42.462B@Disp fx of medial condyle of left humerus, init for opn fx
S42.462D@Disp fx of med condyle of l humer, subs for fx w routn heal
S42.462G@Disp fx of med condyle of l humer, subs for fx w delay heal
S42.462K@Disp fx of medial condyle of l humer, subs for fx w nonunion
S42.462P@Disp fx of medial condyle of l humer, subs for fx w malunion
S42.462S@Disp fx of medial condyle of left humerus, sequela
S42.463A@Disp fx of medial condyle of unsp humerus, init for clos fx
S42.463B@Disp fx of medial condyle of unsp humerus, init for opn fx
S42.463D@Disp fx of med condyle of unsp humer, 7thD
S42.463G@Disp fx of med condyle of unsp humer, 7thG
S42.463K@Disp fx of med condyle of unsp humer, subs for fx w nonunion
S42.463P@Disp fx of med condyle of unsp humer, subs for fx w malunion
S42.463S@Disp fx of medial condyle of unspecified humerus, sequela
S42.464A@Nondisp fx of medial condyle of right humerus, init
S42.464B@Nondisp fx of medial condyle of r humerus, init for opn fx
S42.464D@Nondisp fx of med condyle of r humer, 7thD
S42.464G@Nondisp fx of med condyle of r humer, 7thG
S42.464K@Nondisp fx of med condyle of r humer, subs for fx w nonunion
S42.464P@Nondisp fx of med condyle of r humer, subs for fx w malunion
S42.464S@Nondisp fx of medial condyle of right humerus, sequela
S42.465A@Nondisp fx of medial condyle of left humerus, init
S42.465B@Nondisp fx of medial condyle of l humerus, init for opn fx
S42.465D@Nondisp fx of med condyle of l humer, 7thD
S42.465G@Nondisp fx of med condyle of l humer, 7thG
S42.465K@Nondisp fx of med condyle of l humer, subs for fx w nonunion
S42.465P@Nondisp fx of med condyle of l humer, subs for fx w malunion
S42.465S@Nondisp fx of medial condyle of left humerus, sequela
S42.466A@Nondisp fx of medial condyle of unsp humerus, init
S42.466B@Nondisp fx of medial condyle of unsp humer, init for opn fx
S42.466D@Nondisp fx of med condyle of unsp humer, 7thD
S42.466G@Nondisp fx of med condyle of unsp humer, 7thG
S42.466K@Nondisp fx of med condyle of unsp humer, 7thK
S42.466P@Nondisp fx of med condyle of unsp humer, 7thP
S42.466S@Nondisp fx of medial condyle of unspecified humerus, sequela
S42.471A@Displaced transcondylar fracture of right humerus, init
S42.471B@Displaced transcondy fracture of r humerus, init for opn fx
S42.471D@Displaced transcondy fx r humerus, subs for fx w routn heal
S42.471G@Displaced transcondy fx r humerus, subs for fx w delay heal
S42.471K@Displaced transcondy fx r humerus, subs for fx w nonunion
S42.471P@Displaced transcondy fx r humerus, subs for fx w malunion
S42.471S@Displaced transcondylar fracture of right humerus, sequela
S42.472A@Displaced transcondylar fracture of left humerus, init
S42.472B@Displaced transcondy fracture of l humerus, init for opn fx
S42.472D@Displaced transcondy fx l humerus, subs for fx w routn heal
S42.472G@Displaced transcondy fx l humerus, subs for fx w delay heal
S42.472K@Displaced transcondy fx l humerus, subs for fx w nonunion
S42.472P@Displaced transcondy fx l humerus, subs for fx w malunion
S42.472S@Displaced transcondylar fracture of left humerus, sequela
S42.473A@Displaced transcondylar fracture of unsp humerus, init
S42.473B@Displaced transcondy fx unsp humerus, init for opn fx
S42.473D@Displ transcondy fx unsp humerus, subs for fx w routn heal
S42.473G@Displ transcondy fx unsp humerus, subs for fx w delay heal
S42.473K@Displaced transcondy fx unsp humerus, subs for fx w nonunion
S42.473P@Displaced transcondy fx unsp humerus, subs for fx w malunion
S42.473S@Displaced transcondylar fracture of unsp humerus, sequela
S42.474A@Nondisplaced transcondylar fracture of right humerus, init
S42.474B@Nondisp transcondy fracture of r humerus, init for opn fx
S42.474D@Nondisp transcondy fx r humerus, subs for fx w routn heal
S42.474G@Nondisp transcondy fx r humerus, subs for fx w delay heal
S42.474K@Nondisp transcondy fx r humerus, subs for fx w nonunion
S42.474P@Nondisp transcondy fx r humerus, subs for fx w malunion
S42.474S@Nondisplaced transcondylar fracture of r humerus, sequela
S42.475A@Nondisplaced transcondylar fracture of left humerus, init
S42.475B@Nondisp transcondy fracture of l humerus, init for opn fx
S42.475D@Nondisp transcondy fx l humerus, subs for fx w routn heal
S42.475G@Nondisp transcondy fx l humerus, subs for fx w delay heal
S42.475K@Nondisp transcondy fx l humerus, subs for fx w nonunion
S42.475P@Nondisp transcondy fx l humerus, subs for fx w malunion
S42.475S@Nondisplaced transcondylar fracture of left humerus, sequela
S42.476A@Nondisplaced transcondylar fracture of unsp humerus, init
S42.476B@Nondisp transcondy fracture of unsp humerus, init for opn fx
S42.476D@Nondisp transcondy fx unsp humerus, subs for fx w routn heal
S42.476G@Nondisp transcondy fx unsp humerus, subs for fx w delay heal
S42.476K@Nondisp transcondy fx unsp humerus, subs for fx w nonunion
S42.476P@Nondisp transcondy fx unsp humerus, subs for fx w malunion
S42.476S@Nondisplaced transcondylar fracture of unsp humerus, sequela
S42.481A@Torus fracture of lower end of right humerus, init
S42.481D@Torus fx lower end of r humerus, subs for fx w routn heal
S42.481G@Torus fx lower end of r humerus, subs for fx w delay heal
S42.481K@Torus fx lower end of r humerus, subs for fx w nonunion
S42.481P@Torus fx lower end of r humerus, subs for fx w malunion
S42.481S@Torus fracture of lower end of right humerus, sequela
S42.482A@Torus fracture of lower end of left humerus, init
S42.482D@Torus fx lower end of l humerus, subs for fx w routn heal
S42.482G@Torus fx lower end of l humerus, subs for fx w delay heal
S42.482K@Torus fx lower end of l humerus, subs for fx w nonunion
S42.482P@Torus fx lower end of l humerus, subs for fx w malunion
S42.482S@Torus fracture of lower end of left humerus, sequela
S42.489A@Torus fracture of lower end of unsp humerus, init
S42.489D@Torus fx lower end of unsp humerus, subs for fx w routn heal
S42.489G@Torus fx lower end of unsp humerus, subs for fx w delay heal
S42.489K@Torus fx lower end of unsp humerus, subs for fx w nonunion
S42.489P@Torus fx lower end of unsp humerus, subs for fx w malunion
S42.489S@Torus fracture of lower end of unspecified humerus, sequela
S42.491A@Oth disp fx of lower end of right humerus, init for clos fx
S42.491B@Oth disp fx of lower end of right humerus, init for opn fx
S42.491D@Oth disp fx of lower end r humer, subs for fx w routn heal
S42.491G@Oth disp fx of lower end r humer, subs for fx w delay heal
S42.491K@Oth disp fx of lower end of r humer, subs for fx w nonunion
S42.491P@Oth disp fx of lower end of r humer, subs for fx w malunion
S42.491S@Other disp fx of lower end of right humerus, sequela
S42.492A@Oth disp fx of lower end of left humerus, init for clos fx
S42.492B@Oth disp fx of lower end of left humerus, init for opn fx
S42.492D@Oth disp fx of lower end l humer, subs for fx w routn heal
S42.492G@Oth disp fx of lower end l humer, subs for fx w delay heal
S42.492K@Oth disp fx of lower end of l humer, subs for fx w nonunion
S42.492P@Oth disp fx of lower end of l humer, subs for fx w malunion
S42.492S@Other disp fx of lower end of left humerus, sequela
S42.493A@Oth disp fx of lower end of unsp humerus, init for clos fx
S42.493B@Oth disp fx of lower end of unsp humerus, init for opn fx
S42.493D@Oth disp fx of low end unsp humer, subs for fx w routn heal
S42.493G@Oth disp fx of low end unsp humer, subs for fx w delay heal
S42.493K@Oth disp fx of lower end unsp humer, subs for fx w nonunion
S42.493P@Oth disp fx of lower end unsp humer, subs for fx w malunion
S42.493S@Other disp fx of lower end of unspecified humerus, sequela
S42.494A@Oth nondisp fx of lower end of right humerus, init
S42.494B@Oth nondisp fx of lower end of r humerus, init for opn fx
S42.494D@Oth nondisp fx of low end r humer, subs for fx w routn heal
S42.494G@Oth nondisp fx of low end r humer, subs for fx w delay heal
S42.494K@Oth nondisp fx of lower end r humer, subs for fx w nonunion
S42.494P@Oth nondisp fx of lower end r humer, subs for fx w malunion
S42.494S@Other nondisp fx of lower end of right humerus, sequela
S42.495A@Oth nondisp fx of lower end of left humerus, init
S42.495B@Oth nondisp fx of lower end of left humerus, init for opn fx
S42.495D@Oth nondisp fx of low end l humer, subs for fx w routn heal
S42.495G@Oth nondisp fx of low end l humer, subs for fx w delay heal
S42.495K@Oth nondisp fx of lower end l humer, subs for fx w nonunion
S42.495P@Oth nondisp fx of lower end l humer, subs for fx w malunion
S42.495S@Other nondisp fx of lower end of left humerus, sequela
S42.496A@Oth nondisp fx of lower end of unsp humerus, init
S42.496B@Oth nondisp fx of lower end of unsp humerus, init for opn fx
S42.496D@Oth nondisp fx of low end unsp humer, 7thD
S42.496G@Oth nondisp fx of low end unsp humer, 7thG
S42.496K@Oth nondisp fx of low end unsp humer, subs for fx w nonunion
S42.496P@Oth nondisp fx of low end unsp humer, subs for fx w malunion
S42.496S@Other nondisp fx of lower end of unsp humerus, sequela
S42.90XA@Fracture of unsp shoulder girdle, part unsp, init
S42.90XB@Fracture of unsp shoulder girdle, part unsp, init for opn fx
S42.90XD@Fx unsp shoulder girdle, part unsp, subs for fx w routn heal
S42.90XG@Fx unsp shoulder girdle, part unsp, subs for fx w delay heal
S42.90XK@Fx unsp shoulder girdle, part unsp, subs for fx w nonunion
S42.90XP@Fx unsp shoulder girdle, part unsp, subs for fx w malunion
S42.90XS@Fracture of unsp shoulder girdle, part unspecified, sequela
S42.91XA@Fracture of right shoulder girdle, part unsp, init
S42.91XB@Fracture of r shoulder girdle, part unsp, init for opn fx
S42.91XD@Fx r shoulder girdle, part unsp, subs for fx w routn heal
S42.91XG@Fx r shoulder girdle, part unsp, subs for fx w delay heal
S42.91XK@Fx r shoulder girdle, part unsp, subs for fx w nonunion
S42.91XP@Fx r shoulder girdle, part unsp, subs for fx w malunion
S42.91XS@Fracture of right shoulder girdle, part unspecified, sequela
S42.92XA@Fracture of left shoulder girdle, part unsp, init
S42.92XB@Fracture of left shoulder girdle, part unsp, init for opn fx
S42.92XD@Fx l shoulder girdle, part unsp, subs for fx w routn heal
S42.92XG@Fx l shoulder girdle, part unsp, subs for fx w delay heal
S42.92XK@Fx l shoulder girdle, part unsp, subs for fx w nonunion
S42.92XP@Fx l shoulder girdle, part unsp, subs for fx w malunion
S42.92XS@Fracture of left shoulder girdle, part unspecified, sequela
S43.001A@Unspecified subluxation of right shoulder joint, init encntr
S43.001D@Unspecified subluxation of right shoulder joint, subs encntr
S43.001S@Unspecified subluxation of right shoulder joint, sequela
S43.002A@Unspecified subluxation of left shoulder joint, init encntr
S43.002D@Unspecified subluxation of left shoulder joint, subs encntr
S43.002S@Unspecified subluxation of left shoulder joint, sequela
S43.003A@Unsp subluxation of unspecified shoulder joint, init encntr
S43.003D@Unsp subluxation of unspecified shoulder joint, subs encntr
S43.003S@Unsp subluxation of unspecified shoulder joint, sequela
S43.004A@Unspecified dislocation of right shoulder joint, init encntr
S43.004D@Unspecified dislocation of right shoulder joint, subs encntr
S43.004S@Unspecified dislocation of right shoulder joint, sequela
S43.005A@Unspecified dislocation of left shoulder joint, init encntr
S43.005D@Unspecified dislocation of left shoulder joint, subs encntr
S43.005S@Unspecified dislocation of left shoulder joint, sequela
S43.006A@Unsp dislocation of unspecified shoulder joint, init encntr
S43.006D@Unsp dislocation of unspecified shoulder joint, subs encntr
S43.006S@Unsp dislocation of unspecified shoulder joint, sequela
S43.011A@Anterior subluxation of right humerus, initial encounter
S43.011D@Anterior subluxation of right humerus, subsequent encounter
S43.011S@Anterior subluxation of right humerus, sequela
S43.012A@Anterior subluxation of left humerus, initial encounter
S43.012D@Anterior subluxation of left humerus, subsequent encounter
S43.012S@Anterior subluxation of left humerus, sequela
S43.013A@Anterior subluxation of unspecified humerus, init encntr
S43.013D@Anterior subluxation of unspecified humerus, subs encntr
S43.013S@Anterior subluxation of unspecified humerus, sequela
S43.014A@Anterior dislocation of right humerus, initial encounter
S43.014D@Anterior dislocation of right humerus, subsequent encounter
S43.014S@Anterior dislocation of right humerus, sequela
S43.015A@Anterior dislocation of left humerus, initial encounter
S43.015D@Anterior dislocation of left humerus, subsequent encounter
S43.015S@Anterior dislocation of left humerus, sequela
S43.016A@Anterior dislocation of unspecified humerus, init encntr
S43.016D@Anterior dislocation of unspecified humerus, subs encntr
S43.016S@Anterior dislocation of unspecified humerus, sequela
S43.021A@Posterior subluxation of right humerus, initial encounter
S43.021D@Posterior subluxation of right humerus, subsequent encounter
S43.021S@Posterior subluxation of right humerus, sequela
S43.022A@Posterior subluxation of left humerus, initial encounter
S43.022D@Posterior subluxation of left humerus, subsequent encounter
S43.022S@Posterior subluxation of left humerus, sequela
S43.023A@Posterior subluxation of unspecified humerus, init encntr
S43.023D@Posterior subluxation of unspecified humerus, subs encntr
S43.023S@Posterior subluxation of unspecified humerus, sequela
S43.024A@Posterior dislocation of right humerus, initial encounter
S43.024D@Posterior dislocation of right humerus, subsequent encounter
S43.024S@Posterior dislocation of right humerus, sequela
S43.025A@Posterior dislocation of left humerus, initial encounter
S43.025D@Posterior dislocation of left humerus, subsequent encounter
S43.025S@Posterior dislocation of left humerus, sequela
S43.026A@Posterior dislocation of unspecified humerus, init encntr
S43.026D@Posterior dislocation of unspecified humerus, subs encntr
S43.026S@Posterior dislocation of unspecified humerus, sequela
S43.031A@Inferior subluxation of right humerus, initial encounter
S43.031D@Inferior subluxation of right humerus, subsequent encounter
S43.031S@Inferior subluxation of right humerus, sequela
S43.032A@Inferior subluxation of left humerus, initial encounter
S43.032D@Inferior subluxation of left humerus, subsequent encounter
S43.032S@Inferior subluxation of left humerus, sequela
S43.033A@Inferior subluxation of unspecified humerus, init encntr
S43.033D@Inferior subluxation of unspecified humerus, subs encntr
S43.033S@Inferior subluxation of unspecified humerus, sequela
S43.034A@Inferior dislocation of right humerus, initial encounter
S43.034D@Inferior dislocation of right humerus, subsequent encounter
S43.034S@Inferior dislocation of right humerus, sequela
S43.035A@Inferior dislocation of left humerus, initial encounter
S43.035D@Inferior dislocation of left humerus, subsequent encounter
S43.035S@Inferior dislocation of left humerus, sequela
S43.036A@Inferior dislocation of unspecified humerus, init encntr
S43.036D@Inferior dislocation of unspecified humerus, subs encntr
S43.036S@Inferior dislocation of unspecified humerus, sequela
S43.081A@Other subluxation of right shoulder joint, initial encounter
S43.081D@Other subluxation of right shoulder joint, subs encntr
S43.081S@Other subluxation of right shoulder joint, sequela
S43.082A@Other subluxation of left shoulder joint, initial encounter
S43.082D@Other subluxation of left shoulder joint, subs encntr
S43.082S@Other subluxation of left shoulder joint, sequela
S43.083A@Other subluxation of unspecified shoulder joint, init encntr
S43.083D@Other subluxation of unspecified shoulder joint, subs encntr
S43.083S@Other subluxation of unspecified shoulder joint, sequela
S43.084A@Other dislocation of right shoulder joint, initial encounter
S43.084D@Other dislocation of right shoulder joint, subs encntr
S43.084S@Other dislocation of right shoulder joint, sequela
S43.085A@Other dislocation of left shoulder joint, initial encounter
S43.085D@Other dislocation of left shoulder joint, subs encntr
S43.085S@Other dislocation of left shoulder joint, sequela
S43.086A@Other dislocation of unspecified shoulder joint, init encntr
S43.086D@Other dislocation of unspecified shoulder joint, subs encntr
S43.086S@Other dislocation of unspecified shoulder joint, sequela
S43.101A@Unsp dislocation of right acromioclavicular joint, init
S43.101D@Unsp dislocation of right acromioclavicular joint, subs
S43.101S@Unsp dislocation of right acromioclavicular joint, sequela
S43.102A@Unsp dislocation of left acromioclavicular joint, init
S43.102D@Unsp dislocation of left acromioclavicular joint, subs
S43.102S@Unsp dislocation of left acromioclavicular joint, sequela
S43.109A@Unsp dislocation of unsp acromioclavicular joint, init
S43.109D@Unsp dislocation of unsp acromioclavicular joint, subs
S43.109S@Unsp dislocation of unsp acromioclavicular joint, sequela
S43.111A@Subluxation of right acromioclavicular joint, init encntr
S43.111D@Subluxation of right acromioclavicular joint, subs encntr
S43.111S@Subluxation of right acromioclavicular joint, sequela
S43.112A@Subluxation of left acromioclavicular joint, init encntr
S43.112D@Subluxation of left acromioclavicular joint, subs encntr
S43.112S@Subluxation of left acromioclavicular joint, sequela
S43.119A@Subluxation of unsp acromioclavicular joint, init encntr
S43.119D@Subluxation of unsp acromioclavicular joint, subs encntr
S43.119S@Subluxation of unspecified acromioclavicular joint, sequela
S43.121A@Dislocation of r acromioclav jt, 100%-200% displacmnt, init
S43.121D@Dislocation of r acromioclav jt, 100%-200% displacmnt, subs
S43.121S@Disloc of r acromioclav jt, 100%-200% displacmnt, sequela
S43.122A@Dislocation of l acromioclav jt, 100%-200% displacmnt, init
S43.122D@Dislocation of l acromioclav jt, 100%-200% displacmnt, subs
S43.122S@Disloc of l acromioclav jt, 100%-200% displacmnt, sequela
S43.129A@Disloc of unsp acromioclav jt, 100%-200% displacmnt, init
S43.129D@Disloc of unsp acromioclav jt, 100%-200% displacmnt, subs
S43.129S@Disloc of unsp acromioclav jt, 100%-200% displacmnt, sequela
S43.131A@Dislocation of r acromioclav jt, > 200% displacmnt, init
S43.131D@Dislocation of r acromioclav jt, > 200% displacmnt, subs
S43.131S@Dislocation of r acromioclav jt, > 200% displacmnt, sequela
S43.132A@Dislocation of l acromioclav jt, > 200% displacmnt, init
S43.132D@Dislocation of l acromioclav jt, > 200% displacmnt, subs
S43.132S@Dislocation of l acromioclav jt, > 200% displacmnt, sequela
S43.139A@Dislocation of unsp acromioclav jt, > 200% displacmnt, init
S43.139D@Dislocation of unsp acromioclav jt, > 200% displacmnt, subs
S43.139S@Disloc of unsp acromioclav jt, > 200% displacmnt, sequela
S43.141A@Inferior dislocation of right acromioclavicular joint, init
S43.141D@Inferior dislocation of right acromioclavicular joint, subs
S43.141S@Inferior dislocation of r acromioclav jt, sequela
S43.142A@Inferior dislocation of left acromioclavicular joint, init
S43.142D@Inferior dislocation of left acromioclavicular joint, subs
S43.142S@Inferior dislocation of l acromioclav jt, sequela
S43.149A@Inferior dislocation of unsp acromioclavicular joint, init
S43.149D@Inferior dislocation of unsp acromioclavicular joint, subs
S43.149S@Inferior dislocation of unsp acromioclav jt, sequela
S43.151A@Posterior dislocation of right acromioclavicular joint, init
S43.151D@Posterior dislocation of right acromioclavicular joint, subs
S43.151S@Posterior dislocation of r acromioclav jt, sequela
S43.152A@Posterior dislocation of left acromioclavicular joint, init
S43.152D@Posterior dislocation of left acromioclavicular joint, subs
S43.152S@Posterior dislocation of l acromioclav jt, sequela
S43.159A@Posterior dislocation of unsp acromioclavicular joint, init
S43.159D@Posterior dislocation of unsp acromioclavicular joint, subs
S43.159S@Posterior dislocation of unsp acromioclav jt, sequela
S43.201A@Unsp subluxation of right sternoclavicular joint, init
S43.201D@Unsp subluxation of right sternoclavicular joint, subs
S43.201S@Unsp subluxation of right sternoclavicular joint, sequela
