S90.00XA@Contusion of unspecified ankle, initial encounter
S90.00XD@Contusion of unspecified ankle, subsequent encounter
S90.00XS@Contusion of unspecified ankle, sequela
S90.01XA@Contusion of right ankle, initial encounter
S90.01XD@Contusion of right ankle, subsequent encounter
S90.01XS@Contusion of right ankle, sequela
S90.02XA@Contusion of left ankle, initial encounter
S90.02XD@Contusion of left ankle, subsequent encounter
S90.02XS@Contusion of left ankle, sequela
S90.111A@Contusion of right great toe w/o damage to nail, init encntr
S90.111D@Contusion of right great toe w/o damage to nail, subs encntr
S90.111S@Contusion of right great toe without damage to nail, sequela
S90.112A@Contusion of left great toe w/o damage to nail, init encntr
S90.112D@Contusion of left great toe w/o damage to nail, subs encntr
S90.112S@Contusion of left great toe without damage to nail, sequela
S90.119A@Contusion of unsp great toe w/o damage to nail, init encntr
S90.119D@Contusion of unsp great toe w/o damage to nail, subs encntr
S90.119S@Contusion of unsp great toe without damage to nail, sequela
S90.121A@Contusion of right lesser toe(s) w/o damage to nail, init
S90.121D@Contusion of right lesser toe(s) w/o damage to nail, subs
S90.121S@Contusion of right lesser toe(s) w/o damage to nail, sequela
S90.122A@Contusion of left lesser toe(s) w/o damage to nail, init
S90.122D@Contusion of left lesser toe(s) w/o damage to nail, subs
S90.122S@Contusion of left lesser toe(s) w/o damage to nail, sequela
S90.129A@Contusion of unsp lesser toe(s) w/o damage to nail, init
S90.129D@Contusion of unsp lesser toe(s) w/o damage to nail, subs
S90.129S@Contusion of unsp lesser toe(s) w/o damage to nail, sequela
S90.211A@Contusion of right great toe w damage to nail, init encntr
S90.211D@Contusion of right great toe w damage to nail, subs encntr
S90.211S@Contusion of right great toe with damage to nail, sequela
S90.212A@Contusion of left great toe with damage to nail, init encntr
S90.212D@Contusion of left great toe with damage to nail, subs encntr
S90.212S@Contusion of left great toe with damage to nail, sequela
S90.219A@Contusion of unsp great toe with damage to nail, init encntr
S90.219D@Contusion of unsp great toe with damage to nail, subs encntr
S90.219S@Contusion of unsp great toe with damage to nail, sequela
S90.221A@Contusion of right lesser toe(s) w damage to nail, init
S90.221D@Contusion of right lesser toe(s) w damage to nail, subs
S90.221S@Contusion of right lesser toe(s) w damage to nail, sequela
S90.222A@Contusion of left lesser toe(s) w damage to nail, init
S90.222D@Contusion of left lesser toe(s) w damage to nail, subs
S90.222S@Contusion of left lesser toe(s) with damage to nail, sequela
S90.229A@Contusion of unsp lesser toe(s) w damage to nail, init
S90.229D@Contusion of unsp lesser toe(s) w damage to nail, subs
S90.229S@Contusion of unsp lesser toe(s) with damage to nail, sequela
S90.30XA@Contusion of unspecified foot, initial encounter
S90.30XD@Contusion of unspecified foot, subsequent encounter
S90.30XS@Contusion of unspecified foot, sequela
S90.31XA@Contusion of right foot, initial encounter
S90.31XD@Contusion of right foot, subsequent encounter
S90.31XS@Contusion of right foot, sequela
S90.32XA@Contusion of left foot, initial encounter
S90.32XD@Contusion of left foot, subsequent encounter
S90.32XS@Contusion of left foot, sequela
S93.402D@Sprain of unspecified ligament of left ankle, subs encntr
S93.402S@Sprain of unspecified ligament of left ankle, sequela
S93.409A@Sprain of unsp ligament of unspecified ankle, init encntr
S93.409D@Sprain of unsp ligament of unspecified ankle, subs encntr
S93.409S@Sprain of unspecified ligament of unspecified ankle, sequela
S93.411A@Sprain of calcaneofibular ligament of right ankle, init
S93.411D@Sprain of calcaneofibular ligament of right ankle, subs
S93.411S@Sprain of calcaneofibular ligament of right ankle, sequela
S93.412A@Sprain of calcaneofibular ligament of left ankle, init
S93.412D@Sprain of calcaneofibular ligament of left ankle, subs
S93.412S@Sprain of calcaneofibular ligament of left ankle, sequela
S93.419A@Sprain of calcaneofibular ligament of unsp ankle, init
S93.419D@Sprain of calcaneofibular ligament of unsp ankle, subs
S93.419S@Sprain of calcaneofibular ligament of unsp ankle, sequela
S93.421A@Sprain of deltoid ligament of right ankle, initial encounter
S93.421D@Sprain of deltoid ligament of right ankle, subs encntr
S93.421S@Sprain of deltoid ligament of right ankle, sequela
S93.422A@Sprain of deltoid ligament of left ankle, initial encounter
S93.422D@Sprain of deltoid ligament of left ankle, subs encntr
S93.422S@Sprain of deltoid ligament of left ankle, sequela
S93.429A@Sprain of deltoid ligament of unspecified ankle, init encntr
S93.429D@Sprain of deltoid ligament of unspecified ankle, subs encntr
S93.429S@Sprain of deltoid ligament of unspecified ankle, sequela
S93.431A@Sprain of tibiofibular ligament of right ankle, init encntr
S93.431D@Sprain of tibiofibular ligament of right ankle, subs encntr
S93.431S@Sprain of tibiofibular ligament of right ankle, sequela
S93.432A@Sprain of tibiofibular ligament of left ankle, init encntr
S93.432D@Sprain of tibiofibular ligament of left ankle, subs encntr
S93.432S@Sprain of tibiofibular ligament of left ankle, sequela
S93.439A@Sprain of tibiofibular ligament of unsp ankle, init encntr
S93.439D@Sprain of tibiofibular ligament of unsp ankle, subs encntr
S93.439S@Sprain of tibiofibular ligament of unsp ankle, sequela
S93.491A@Sprain of other ligament of right ankle, initial encounter
S93.491D@Sprain of other ligament of right ankle, subs encntr
S93.491S@Sprain of other ligament of right ankle, sequela
S93.492A@Sprain of other ligament of left ankle, initial encounter
S93.492D@Sprain of other ligament of left ankle, subsequent encounter
S93.492S@Sprain of other ligament of left ankle, sequela
S93.499A@Sprain of other ligament of unspecified ankle, init encntr
S93.499D@Sprain of other ligament of unspecified ankle, subs encntr
S93.499S@Sprain of other ligament of unspecified ankle, sequela
S93.501A@Unspecified sprain of right great toe, initial encounter
S93.501D@Unspecified sprain of right great toe, subsequent encounter
S93.501S@Unspecified sprain of right great toe, sequela
S93.502A@Unspecified sprain of left great toe, initial encounter
S93.502D@Unspecified sprain of left great toe, subsequent encounter
S93.502S@Unspecified sprain of left great toe, sequela
S93.503A@Unspecified sprain of unspecified great toe, init encntr
S93.503D@Unspecified sprain of unspecified great toe, subs encntr
S93.503S@Unspecified sprain of unspecified great toe, sequela
S93.504A@Unspecified sprain of right lesser toe(s), initial encounter
S93.504D@Unspecified sprain of right lesser toe(s), subs encntr
S93.504S@Unspecified sprain of right lesser toe(s), sequela
S93.505A@Unspecified sprain of left lesser toe(s), initial encounter
S93.505D@Unspecified sprain of left lesser toe(s), subs encntr
S93.505S@Unspecified sprain of left lesser toe(s), sequela
S93.506A@Unspecified sprain of unspecified lesser toe(s), init encntr
S93.506D@Unspecified sprain of unspecified lesser toe(s), subs encntr
S93.506S@Unspecified sprain of unspecified lesser toe(s), sequela
S93.509A@Unspecified sprain of unspecified toe(s), initial encounter
S93.509D@Unspecified sprain of unspecified toe(s), subs encntr
S93.509S@Unspecified sprain of unspecified toe(s), sequela
S93.511A@Sprain of interphalangeal joint of right great toe, init
S93.511D@Sprain of interphalangeal joint of right great toe, subs
S93.511S@Sprain of interphalangeal joint of right great toe, sequela
S93.512A@Sprain of interphalangeal joint of left great toe, init
S93.512D@Sprain of interphalangeal joint of left great toe, subs
S93.512S@Sprain of interphalangeal joint of left great toe, sequela
S93.513A@Sprain of interphalangeal joint of unsp great toe, init
S93.513D@Sprain of interphalangeal joint of unsp great toe, subs
S93.513S@Sprain of interphalangeal joint of unsp great toe, sequela
S93.514A@Sprain of interphalangeal joint of right lesser toe(s), init
S93.514D@Sprain of interphalangeal joint of right lesser toe(s), subs
S93.514S@Sprain of interphaln joint of right lesser toe(s), sequela
S93.515A@Sprain of interphalangeal joint of left lesser toe(s), init
S93.515D@Sprain of interphalangeal joint of left lesser toe(s), subs
S93.515S@Sprain of interphaln joint of left lesser toe(s), sequela
S93.516A@Sprain of interphalangeal joint of unsp lesser toe(s), init
S93.516D@Sprain of interphalangeal joint of unsp lesser toe(s), subs
S93.516S@Sprain of interphaln joint of unsp lesser toe(s), sequela
S93.519A@Sprain of interphalangeal joint of unsp toe(s), init encntr
S93.519D@Sprain of interphalangeal joint of unsp toe(s), subs encntr
S93.519S@Sprain of interphalangeal joint of unsp toe(s), sequela
S93.521A@Sprain of metatarsophalangeal joint of right great toe, init
S93.521D@Sprain of metatarsophalangeal joint of right great toe, subs
S93.521S@Sprain of MTP joint of right great toe, sequela
S93.522A@Sprain of metatarsophalangeal joint of left great toe, init
S93.522D@Sprain of metatarsophalangeal joint of left great toe, subs
S93.522S@Sprain of MTP joint of left great toe, sequela
S93.523A@Sprain of metatarsophalangeal joint of unsp great toe, init
S93.523D@Sprain of metatarsophalangeal joint of unsp great toe, subs
S93.523S@Sprain of MTP joint of unsp great toe, sequela
S93.524A@Sprain of MTP joint of right lesser toe(s), init
S93.524D@Sprain of MTP joint of right lesser toe(s), subs
S93.524S@Sprain of MTP joint of right lesser toe(s), sequela
S93.525A@Sprain of MTP joint of left lesser toe(s), init
S93.525D@Sprain of MTP joint of left lesser toe(s), subs
S93.525S@Sprain of MTP joint of left lesser toe(s), sequela
S93.526A@Sprain of MTP joint of unsp lesser toe(s), init
S93.526D@Sprain of MTP joint of unsp lesser toe(s), subs
S93.526S@Sprain of MTP joint of unsp lesser toe(s), sequela
S93.529A@Sprain of metatarsophalangeal joint of unsp toe(s), init
S93.529D@Sprain of metatarsophalangeal joint of unsp toe(s), subs
S93.529S@Sprain of metatarsophalangeal joint of unsp toe(s), sequela
S93.601A@Unspecified sprain of right foot, initial encounter
S93.601D@Unspecified sprain of right foot, subsequent encounter
S93.601S@Unspecified sprain of right foot, sequela
S93.602A@Unspecified sprain of left foot, initial encounter
S93.602D@Unspecified sprain of left foot, subsequent encounter
S93.602S@Unspecified sprain of left foot, sequela
S93.609A@Unspecified sprain of unspecified foot, initial encounter
S93.609D@Unspecified sprain of unspecified foot, subsequent encounter
S93.609S@Unspecified sprain of unspecified foot, sequela
S93.611A@Sprain of tarsal ligament of right foot, initial encounter
S93.611D@Sprain of tarsal ligament of right foot, subs encntr
S93.611S@Sprain of tarsal ligament of right foot, sequela
S93.612A@Sprain of tarsal ligament of left foot, initial encounter
S93.612D@Sprain of tarsal ligament of left foot, subsequent encounter
S93.612S@Sprain of tarsal ligament of left foot, sequela
S93.619A@Sprain of tarsal ligament of unspecified foot, init encntr
S93.619D@Sprain of tarsal ligament of unspecified foot, subs encntr
S93.619S@Sprain of tarsal ligament of unspecified foot, sequela
S93.621A@Sprain of tarsometatarsal ligament of right foot, init
S93.621D@Sprain of tarsometatarsal ligament of right foot, subs
S93.621S@Sprain of tarsometatarsal ligament of right foot, sequela
S93.622A@Sprain of tarsometatarsal ligament of left foot, init encntr
S93.622D@Sprain of tarsometatarsal ligament of left foot, subs encntr
S93.622S@Sprain of tarsometatarsal ligament of left foot, sequela
S93.629A@Sprain of tarsometatarsal ligament of unsp foot, init encntr
S93.629D@Sprain of tarsometatarsal ligament of unsp foot, subs encntr
S93.629S@Sprain of tarsometatarsal ligament of unsp foot, sequela
S93.691A@Other sprain of right foot, initial encounter
S93.691D@Other sprain of right foot, subsequent encounter
S93.691S@Other sprain of right foot, sequela
S93.692A@Other sprain of left foot, initial encounter
S93.692D@Other sprain of left foot, subsequent encounter
S93.692S@Other sprain of left foot, sequela
S93.699A@Other sprain of unspecified foot, initial encounter
S93.699D@Other sprain of unspecified foot, subsequent encounter
S93.699S@Other sprain of unspecified foot, sequela
S94.00XA@Injury of lateral plantar nerve, unsp leg, init encntr
S94.00XD@Injury of lateral plantar nerve, unsp leg, subs encntr
S94.00XS@Injury of lateral plantar nerve, unspecified leg, sequela
S94.01XA@Injury of lateral plantar nerve, right leg, init encntr
S94.01XD@Injury of lateral plantar nerve, right leg, subs encntr
S94.01XS@Injury of lateral plantar nerve, right leg, sequela
S94.02XA@Injury of lateral plantar nerve, left leg, initial encounter
S94.02XD@Injury of lateral plantar nerve, left leg, subs encntr
S94.02XS@Injury of lateral plantar nerve, left leg, sequela
S94.10XA@Injury of medial plantar nerve, unspecified leg, init encntr
S94.10XD@Injury of medial plantar nerve, unspecified leg, subs encntr
S94.10XS@Injury of medial plantar nerve, unspecified leg, sequela
S94.11XA@Injury of medial plantar nerve, right leg, initial encounter
S94.11XD@Injury of medial plantar nerve, right leg, subs encntr
S94.11XS@Injury of medial plantar nerve, right leg, sequela
S94.12XA@Injury of medial plantar nerve, left leg, initial encounter
S94.12XD@Injury of medial plantar nerve, left leg, subs encntr
S94.12XS@Injury of medial plantar nerve, left leg, sequela
S94.20XA@Injury of deep peroneal nrv at ank/ft level, unsp leg, init
S94.20XD@Injury of deep peroneal nrv at ank/ft level, unsp leg, subs
S94.20XS@Inj deep peroneal nrv at ank/ft level, unsp leg, sequela
S94.21XA@Injury of deep peroneal nrv at ank/ft level, right leg, init
S94.21XD@Injury of deep peroneal nrv at ank/ft level, right leg, subs
S94.21XS@Inj deep peroneal nrv at ank/ft level, right leg, sequela
S94.22XA@Injury of deep peroneal nrv at ank/ft level, left leg, init
S94.22XD@Injury of deep peroneal nrv at ank/ft level, left leg, subs
S94.22XS@Inj deep peroneal nrv at ank/ft level, left leg, sequela
S94.30XA@Inj cutan sensory nerve at ank/ft level, unsp leg, init
S94.30XD@Inj cutan sensory nerve at ank/ft level, unsp leg, subs
S94.30XS@Inj cutan sensory nerve at ank/ft level, unsp leg, sequela
S94.31XA@Inj cutan sensory nerve at ank/ft level, right leg, init
S94.31XD@Inj cutan sensory nerve at ank/ft level, right leg, subs
S94.31XS@Inj cutan sensory nerve at ank/ft level, right leg, sequela
S94.32XA@Inj cutan sensory nerve at ank/ft level, left leg, init
S94.32XD@Inj cutan sensory nerve at ank/ft level, left leg, subs
S94.32XS@Inj cutan sensory nerve at ank/ft level, left leg, sequela
S94.8X1A@Injury of nerves at ankle and foot level, right leg, init
S94.8X1D@Injury of nerves at ankle and foot level, right leg, subs
S94.8X1S@Injury of nerves at ankle and foot level, right leg, sequela
S94.8X2A@Injury of oth nerves at ankle and foot level, left leg, init
S94.8X2D@Injury of oth nerves at ankle and foot level, left leg, subs
S94.8X2S@Injury of nerves at ankle and foot level, left leg, sequela
S94.8X9A@Injury of oth nerves at ankle and foot level, unsp leg, init
S94.8X9D@Injury of oth nerves at ankle and foot level, unsp leg, subs
S94.8X9S@Injury of nerves at ankle and foot level, unsp leg, sequela
S94.90XA@Injury of unsp nerve at ankle and foot level, unsp leg, init
S94.90XD@Injury of unsp nerve at ankle and foot level, unsp leg, subs
S94.90XS@Injury of unsp nerve at ank/ft level, unsp leg, sequela
S94.91XA@Injury of unsp nerve at ank/ft level, right leg, init
S94.91XD@Injury of unsp nerve at ank/ft level, right leg, subs
S94.91XS@Injury of unsp nerve at ank/ft level, right leg, sequela
S94.92XA@Injury of unsp nerve at ankle and foot level, left leg, init
S94.92XD@Injury of unsp nerve at ankle and foot level, left leg, subs
S94.92XS@Injury of unsp nerve at ank/ft level, left leg, sequela
S95.001A@Unsp injury of dorsal artery of right foot, init encntr
S95.001D@Unsp injury of dorsal artery of right foot, subs encntr
S95.001S@Unspecified injury of dorsal artery of right foot, sequela
S95.002A@Unsp injury of dorsal artery of left foot, init encntr
S95.002D@Unsp injury of dorsal artery of left foot, subs encntr
S95.002S@Unspecified injury of dorsal artery of left foot, sequela
S95.009A@Unsp injury of dorsal artery of unsp foot, init encntr
S95.009D@Unsp injury of dorsal artery of unsp foot, subs encntr
S95.009S@Unsp injury of dorsal artery of unspecified foot, sequela
S95.011A@Laceration of dorsal artery of right foot, initial encounter
S95.011D@Laceration of dorsal artery of right foot, subs encntr
S95.011S@Laceration of dorsal artery of right foot, sequela
S95.012A@Laceration of dorsal artery of left foot, initial encounter
S95.012D@Laceration of dorsal artery of left foot, subs encntr
S95.012S@Laceration of dorsal artery of left foot, sequela
S95.019A@Laceration of dorsal artery of unspecified foot, init encntr
S95.019D@Laceration of dorsal artery of unspecified foot, subs encntr
S95.019S@Laceration of dorsal artery of unspecified foot, sequela
S95.091A@Oth injury of dorsal artery of right foot, init encntr
S95.091D@Oth injury of dorsal artery of right foot, subs encntr
S95.091S@Oth injury of dorsal artery of right foot, sequela
S95.092A@Oth injury of dorsal artery of left foot, init encntr
S95.092D@Oth injury of dorsal artery of left foot, subs encntr
S95.092S@Oth injury of dorsal artery of left foot, sequela
S95.099A@Oth injury of dorsal artery of unspecified foot, init encntr
S95.099D@Oth injury of dorsal artery of unspecified foot, subs encntr
S95.099S@Oth injury of dorsal artery of unspecified foot, sequela
S95.101A@Unsp injury of plantar artery of right foot, init encntr
S95.101D@Unsp injury of plantar artery of right foot, subs encntr
S95.101S@Unspecified injury of plantar artery of right foot, sequela
S95.102A@Unsp injury of plantar artery of left foot, init encntr
S95.102D@Unsp injury of plantar artery of left foot, subs encntr
S95.102S@Unspecified injury of plantar artery of left foot, sequela
S95.109A@Unsp injury of plantar artery of unsp foot, init encntr
S95.109D@Unsp injury of plantar artery of unsp foot, subs encntr
S95.109S@Unsp injury of plantar artery of unspecified foot, sequela
S95.111A@Laceration of plantar artery of right foot, init encntr
S95.111D@Laceration of plantar artery of right foot, subs encntr
S95.111S@Laceration of plantar artery of right foot, sequela
S95.112A@Laceration of plantar artery of left foot, initial encounter
S95.112D@Laceration of plantar artery of left foot, subs encntr
S95.112S@Laceration of plantar artery of left foot, sequela
S95.119A@Laceration of plantar artery of unsp foot, init encntr
S95.119D@Laceration of plantar artery of unsp foot, subs encntr
S95.119S@Laceration of plantar artery of unspecified foot, sequela
S95.191A@Oth injury of plantar artery of right foot, init encntr
S95.191D@Oth injury of plantar artery of right foot, subs encntr
S95.191S@Oth injury of plantar artery of right foot, sequela
S95.192A@Oth injury of plantar artery of left foot, init encntr
S95.192D@Oth injury of plantar artery of left foot, subs encntr
S95.192S@Oth injury of plantar artery of left foot, sequela
S95.199A@Oth injury of plantar artery of unsp foot, init encntr
S95.199D@Oth injury of plantar artery of unsp foot, subs encntr
S95.199S@Oth injury of plantar artery of unspecified foot, sequela
S95.201A@Unspecified injury of dorsal vein of right foot, init encntr
S95.201D@Unspecified injury of dorsal vein of right foot, subs encntr
S95.201S@Unspecified injury of dorsal vein of right foot, sequela
S95.202A@Unspecified injury of dorsal vein of left foot, init encntr
S95.202D@Unspecified injury of dorsal vein of left foot, subs encntr
S95.202S@Unspecified injury of dorsal vein of left foot, sequela
S95.209A@Unsp injury of dorsal vein of unspecified foot, init encntr
S95.209D@Unsp injury of dorsal vein of unspecified foot, subs encntr
S95.209S@Unsp injury of dorsal vein of unspecified foot, sequela
S95.211A@Laceration of dorsal vein of right foot, initial encounter
S95.211D@Laceration of dorsal vein of right foot, subs encntr
S95.211S@Laceration of dorsal vein of right foot, sequela
S95.212A@Laceration of dorsal vein of left foot, initial encounter
S95.212D@Laceration of dorsal vein of left foot, subsequent encounter
S95.212S@Laceration of dorsal vein of left foot, sequela
S95.219A@Laceration of dorsal vein of unspecified foot, init encntr
S95.219D@Laceration of dorsal vein of unspecified foot, subs encntr
S95.219S@Laceration of dorsal vein of unspecified foot, sequela
S95.291A@Oth injury of dorsal vein of right foot, init encntr
S95.291D@Oth injury of dorsal vein of right foot, subs encntr
S95.291S@Other specified injury of dorsal vein of right foot, sequela
S95.292A@Oth injury of dorsal vein of left foot, init encntr
S95.292D@Oth injury of dorsal vein of left foot, subs encntr
S95.292S@Other specified injury of dorsal vein of left foot, sequela
S95.299A@Oth injury of dorsal vein of unspecified foot, init encntr
S95.299D@Oth injury of dorsal vein of unspecified foot, subs encntr
S95.299S@Oth injury of dorsal vein of unspecified foot, sequela
S95.801A@Unsp inj blood vessels at ank/ft level, right leg, init
S95.801D@Unsp inj blood vessels at ank/ft level, right leg, subs
S95.801S@Unsp inj blood vessels at ank/ft level, right leg, sequela
S95.802A@Unsp injury of blood vessels at ank/ft level, left leg, init
S95.802D@Unsp injury of blood vessels at ank/ft level, left leg, subs
S95.802S@Unsp inj blood vessels at ank/ft level, left leg, sequela
S95.809A@Unsp injury of blood vessels at ank/ft level, unsp leg, init
S95.809D@Unsp injury of blood vessels at ank/ft level, unsp leg, subs
S95.809S@Unsp inj blood vessels at ank/ft level, unsp leg, sequela
S95.811A@Laceration of blood vessels at ank/ft level, right leg, init
S95.811D@Laceration of blood vessels at ank/ft level, right leg, subs
S95.811S@Lacerat blood vessels at ank/ft level, right leg, sequela
S95.812A@Laceration of blood vessels at ank/ft level, left leg, init
S95.812D@Laceration of blood vessels at ank/ft level, left leg, subs
S95.812S@Lacerat blood vessels at ank/ft level, left leg, sequela
S95.819A@Laceration of blood vessels at ank/ft level, unsp leg, init
S95.819D@Laceration of blood vessels at ank/ft level, unsp leg, subs
S95.819S@Lacerat blood vessels at ank/ft level, unsp leg, sequela
S95.891A@Inj oth blood vessels at ank/ft level, right leg, init
S95.891D@Inj oth blood vessels at ank/ft level, right leg, subs
S95.891S@Inj oth blood vessels at ank/ft level, right leg, sequela
S95.892A@Inj oth blood vessels at ank/ft level, left leg, init
S95.892D@Inj oth blood vessels at ank/ft level, left leg, subs
S95.892S@Inj oth blood vessels at ank/ft level, left leg, sequela
S95.899A@Inj oth blood vessels at ank/ft level, unsp leg, init
S95.899D@Inj oth blood vessels at ank/ft level, unsp leg, subs
S95.899S@Inj oth blood vessels at ank/ft level, unsp leg, sequela
S95.901A@Unsp inj unsp blood vess at ank/ft level, right leg, init
S95.901D@Unsp inj unsp blood vess at ank/ft level, right leg, subs
S95.901S@Unsp inj unsp blood vess at ank/ft level, right leg, sequela
S95.902A@Unsp inj unsp blood vess at ank/ft level, left leg, init
S95.902D@Unsp inj unsp blood vess at ank/ft level, left leg, subs
S95.902S@Unsp inj unsp blood vess at ank/ft level, left leg, sequela
S95.909A@Unsp inj unsp blood vess at ank/ft level, unsp leg, init
S95.909D@Unsp inj unsp blood vess at ank/ft level, unsp leg, subs
S95.909S@Unsp inj unsp blood vess at ank/ft level, unsp leg, sequela
S95.911A@Lacerat unsp blood vessel at ank/ft level, right leg, init
S95.911D@Lacerat unsp blood vessel at ank/ft level, right leg, subs
S95.911S@Lacerat unsp blood vess at ank/ft level, right leg, sequela
S95.912A@Lacerat unsp blood vessel at ank/ft level, left leg, init
S95.912D@Lacerat unsp blood vessel at ank/ft level, left leg, subs
S95.912S@Lacerat unsp blood vessel at ank/ft level, left leg, sequela
S95.919A@Lacerat unsp blood vessel at ank/ft level, unsp leg, init
S95.919D@Lacerat unsp blood vessel at ank/ft level, unsp leg, subs
S95.919S@Lacerat unsp blood vessel at ank/ft level, unsp leg, sequela
S95.991A@Inj unsp blood vessel at ank/ft level, right leg, init
S95.991D@Inj unsp blood vessel at ank/ft level, right leg, subs
S95.991S@Inj unsp blood vessel at ank/ft level, right leg, sequela
S95.992A@Inj unsp blood vessel at ank/ft level, left leg, init
S95.992D@Inj unsp blood vessel at ank/ft level, left leg, subs
S95.992S@Inj unsp blood vessel at ank/ft level, left leg, sequela
S95.999A@Inj unsp blood vessel at ank/ft level, unsp leg, init
S95.999D@Inj unsp blood vessel at ank/ft level, unsp leg, subs
S95.999S@Inj unsp blood vessel at ank/ft level, unsp leg, sequela
S96.001A@Unsp inj msl/tnd lng flxr msl toe at ank/ft lev, r ft, init
S96.001D@Unsp inj msl/tnd lng flxr msl toe at ank/ft lev, r ft, subs
S96.001S@Unsp inj msl/tnd lng flxr msl toe at ank/ft lev, r ft, sqla
S96.002A@Unsp inj msl/tnd lng flxr msl toe at ank/ft lev, l ft, init
S96.002D@Unsp inj msl/tnd lng flxr msl toe at ank/ft lev, l ft, subs
S96.002S@Unsp inj msl/tnd lng flxr msl toe at ank/ft lev, l ft, sqla
S96.009A@Unsp inj msl/tnd lng flxr msl toe at ank/ft lev,unsp ft,init
S96.009D@Unsp inj msl/tnd lng flxr msl toe at ank/ft lev,unsp ft,subs
S96.009S@Unsp inj msl/tnd lng flxr msl toe at ank/ft lev,unsp ft,sqla
S96.011A@Strain msl/tnd lng flxr msl toe at ank/ft lev, r foot, init
S96.011D@Strain msl/tnd lng flxr msl toe at ank/ft lev, r foot, subs
S96.011S@Strain msl/tnd lng flxr msl toe at ank/ft lev, r foot, sqla
S96.012A@Strain msl/tnd lng flxr msl toe at ank/ft lev, l foot, init
S96.012D@Strain msl/tnd lng flxr msl toe at ank/ft lev, l foot, subs
S96.012S@Strain msl/tnd lng flxr msl toe at ank/ft lev, l foot, sqla
S96.019A@Strain msl/tnd lng flxr msl toe at ank/ft lev, unsp ft, init
S96.019D@Strain msl/tnd lng flxr msl toe at ank/ft lev, unsp ft, subs
S96.019S@Strain msl/tnd lng flxr msl toe at ank/ft lev, unsp ft, sqla
S96.021A@Lacerat msl/tnd lng flxr msl toe at ank/ft lev, r foot, init
S96.021D@Lacerat msl/tnd lng flxr msl toe at ank/ft lev, r foot, subs
S96.021S@Lacerat msl/tnd lng flxr msl toe at ank/ft lev, r foot, sqla
S96.022A@Lacerat msl/tnd lng flxr msl toe at ank/ft lev, l foot, init
S96.022D@Lacerat msl/tnd lng flxr msl toe at ank/ft lev, l foot, subs
S96.022S@Lacerat msl/tnd lng flxr msl toe at ank/ft lev, l foot, sqla
S96.029A@Lacerat msl/tnd lng flxr msl toe at ank/ft lev,unsp ft, init
S96.029D@Lacerat msl/tnd lng flxr msl toe at ank/ft lev,unsp ft, subs
S96.029S@Lacerat msl/tnd lng flxr msl toe at ank/ft lev,unsp ft, sqla
S96.091A@Inj msl/tnd lng flxr msl toe at ank/ft level, r foot, init
S96.091D@Inj msl/tnd lng flxr msl toe at ank/ft level, r foot, subs
S96.091S@Inj msl/tnd lng flxr msl toe at ank/ft level, r foot, sqla
S96.092A@Inj msl/tnd lng flxr msl toe at ank/ft level, l foot, init
S96.092D@Inj msl/tnd lng flxr msl toe at ank/ft level, l foot, subs
S96.092S@Inj msl/tnd lng flxr msl toe at ank/ft level, l foot, sqla
S96.099A@Inj msl/tnd lng flxr msl toe at ank/ft lev, unsp foot, init
S96.099D@Inj msl/tnd lng flxr msl toe at ank/ft lev, unsp foot, subs
S96.099S@Inj msl/tnd lng flxr msl toe at ank/ft lev, unsp foot, sqla
S96.101A@Unsp inj msl/tnd lng extn msl toe at ank/ft lev, r ft, init
S96.101D@Unsp inj msl/tnd lng extn msl toe at ank/ft lev, r ft, subs
S96.101S@Unsp inj msl/tnd lng extn msl toe at ank/ft lev, r ft, sqla
S96.102A@Unsp inj msl/tnd lng extn msl toe at ank/ft lev, l ft, init
S96.102D@Unsp inj msl/tnd lng extn msl toe at ank/ft lev, l ft, subs
S96.102S@Unsp inj msl/tnd lng extn msl toe at ank/ft lev, l ft, sqla
S96.109A@Unsp inj msl/tnd lng extn msl toe at ank/ft lev,unsp ft,init
S96.109D@Unsp inj msl/tnd lng extn msl toe at ank/ft lev,unsp ft,subs
S96.109S@Unsp inj msl/tnd lng extn msl toe at ank/ft lev,unsp ft,sqla
S96.111A@Strain msl/tnd lng extn msl toe at ank/ft lev, r foot, init
S96.111D@Strain msl/tnd lng extn msl toe at ank/ft lev, r foot, subs
S96.111S@Strain msl/tnd lng extn msl toe at ank/ft lev, r foot, sqla
S96.112A@Strain msl/tnd lng extn msl toe at ank/ft lev, l foot, init
S96.112D@Strain msl/tnd lng extn msl toe at ank/ft lev, l foot, subs
S96.112S@Strain msl/tnd lng extn msl toe at ank/ft lev, l foot, sqla
S96.119A@Strain msl/tnd lng extn msl toe at ank/ft lev, unsp ft, init
S96.119D@Strain msl/tnd lng extn msl toe at ank/ft lev, unsp ft, subs
S96.119S@Strain msl/tnd lng extn msl toe at ank/ft lev, unsp ft, sqla
S96.121A@Lacerat msl/tnd lng extn msl toe at ank/ft lev, r foot, init
S96.121D@Lacerat msl/tnd lng extn msl toe at ank/ft lev, r foot, subs
S96.121S@Lacerat msl/tnd lng extn msl toe at ank/ft lev, r foot, sqla
S96.122A@Lacerat msl/tnd lng extn msl toe at ank/ft lev, l foot, init
S96.122D@Lacerat msl/tnd lng extn msl toe at ank/ft lev, l foot, subs
S96.122S@Lacerat msl/tnd lng extn msl toe at ank/ft lev, l foot, sqla
