S00.00XA@Unspecified superficial injury of scalp, initial encounter
T82.222D@Displacement of biological heart valve graft, subs encntr
T82.222S@Displacement of biological heart valve graft, sequela
T82.223A@Leakage of biological heart valve graft, initial encounter
T82.223D@Leakage of biological heart valve graft, subs encntr
T82.223S@Leakage of biological heart valve graft, sequela
T82.228A@Mech compl of biological heart valve graft, init encntr
T82.228D@Mech compl of biological heart valve graft, subs encntr
T82.228S@Mech compl of biological heart valve graft, sequela
T82.310A@Breakdown (mechanical) of aortic (bifurcation) graft, init
T82.310D@Breakdown (mechanical) of aortic (bifurcation) graft, subs
T82.310S@Breakdown of aortic (bifurcation) graft, sequela
T82.311A@Breakdown of carotid arterial graft (bypass), init
T82.311D@Breakdown of carotid arterial graft (bypass), subs
T82.311S@Breakdown of carotid arterial graft (bypass), sequela
T82.312A@Breakdown of femoral arterial graft (bypass), init
T82.312D@Breakdown of femoral arterial graft (bypass), subs
T82.312S@Breakdown of femoral arterial graft (bypass), sequela
T82.318A@Breakdown (mechanical) of other vascular grafts, init encntr
T82.318D@Breakdown (mechanical) of other vascular grafts, subs encntr
T82.318S@Breakdown (mechanical) of other vascular grafts, sequela
T82.319A@Breakdown (mechanical) of unsp vascular grafts, init encntr
T82.319D@Breakdown (mechanical) of unsp vascular grafts, subs encntr
T82.319S@Breakdown (mechanical) of unsp vascular grafts, sequela
T82.320A@Displacement of aortic (bifurcation) graft, init
T82.320D@Displacement of aortic (bifurcation) graft, subs
T82.320S@Displacement of aortic (bifurcation) graft, sequela
T82.321A@Displacement of carotid arterial graft (bypass), init encntr
T82.321D@Displacement of carotid arterial graft (bypass), subs encntr
T82.321S@Displacement of carotid arterial graft (bypass), sequela
T82.322A@Displacement of femoral arterial graft (bypass), init encntr
T82.322D@Displacement of femoral arterial graft (bypass), subs encntr
T82.322S@Displacement of femoral arterial graft (bypass), sequela
T82.328A@Displacement of other vascular grafts, initial encounter
T82.328D@Displacement of other vascular grafts, subsequent encounter
T82.328S@Displacement of other vascular grafts, sequela
T82.329A@Displacement of unspecified vascular grafts, init encntr
T82.329D@Displacement of unspecified vascular grafts, subs encntr
T82.329S@Displacement of unspecified vascular grafts, sequela
T82.330A@Leakage of aortic (bifurcation) graft (replacement), init
T82.330D@Leakage of aortic (bifurcation) graft (replacement), subs
T82.330S@Leakage of aortic (bifurcation) graft (replacement), sequela
T82.331A@Leakage of carotid arterial graft (bypass), init encntr
T82.331D@Leakage of carotid arterial graft (bypass), subs encntr
T82.331S@Leakage of carotid arterial graft (bypass), sequela
T82.332A@Leakage of femoral arterial graft (bypass), init encntr
T82.332D@Leakage of femoral arterial graft (bypass), subs encntr
T82.332S@Leakage of femoral arterial graft (bypass), sequela
T82.338A@Leakage of other vascular grafts, initial encounter
T82.338D@Leakage of other vascular grafts, subsequent encounter
T82.338S@Leakage of other vascular grafts, sequela
T82.339A@Leakage of unspecified vascular graft, initial encounter
T82.339D@Leakage of unspecified vascular graft, subsequent encounter
T82.339S@Leakage of unspecified vascular graft, sequela
T82.390A@Mech compl of aortic (bifurcation) graft (replacement), init
T82.390D@Mech compl of aortic (bifurcation) graft (replacement), subs
T82.390S@Mech compl of aortic (bifurcation) graft, sequela
T82.391A@Mech compl of carotid arterial graft (bypass), init encntr
T82.391D@Mech compl of carotid arterial graft (bypass), subs encntr
T82.391S@Mech compl of carotid arterial graft (bypass), sequela
T82.392A@Mech compl of femoral arterial graft (bypass), init encntr
T82.392D@Mech compl of femoral arterial graft (bypass), subs encntr
T82.392S@Mech compl of femoral arterial graft (bypass), sequela
T82.398A@Mech compl of other vascular grafts, initial encounter
T82.398D@Mech compl of other vascular grafts, subsequent encounter
T82.398S@Mech compl of other vascular grafts, sequela
T82.399A@Mech compl of unspecified vascular grafts, initial encounter
T82.399D@Mech compl of unspecified vascular grafts, subs encntr
T82.399S@Mech compl of unspecified vascular grafts, sequela
T82.41XA@Breakdown (mechanical) of vascular dialysis catheter, init
T82.41XD@Breakdown (mechanical) of vascular dialysis catheter, subs
T82.41XS@Breakdown of vascular dialysis catheter, sequela
T82.42XA@Displacement of vascular dialysis catheter, init encntr
T82.42XD@Displacement of vascular dialysis catheter, subs encntr
T82.42XS@Displacement of vascular dialysis catheter, sequela
T82.43XA@Leakage of vascular dialysis catheter, initial encounter
T82.43XD@Leakage of vascular dialysis catheter, subsequent encounter
T82.43XS@Leakage of vascular dialysis catheter, sequela
T82.49XA@Oth complication of vascular dialysis catheter, init encntr
T82.49XD@Oth complication of vascular dialysis catheter, subs encntr
T82.49XS@Other complication of vascular dialysis catheter, sequela
T82.510A@Breakdown of surgically created AV fistula, init
T82.510D@Breakdown of surgically created AV fistula, subs
T82.510S@Breakdown of surgically created AV fistula, sequela
T82.511A@Breakdown (mechanical) of surgically created AV shunt, init
T82.511D@Breakdown (mechanical) of surgically created AV shunt, subs
T82.511S@Breakdown of surgically created AV shunt, sequela
T82.512A@Breakdown (mechanical) of artificial heart, init encntr
T82.512D@Breakdown (mechanical) of artificial heart, subs encntr
T82.512S@Breakdown (mechanical) of artificial heart, sequela
T82.513A@Breakdown of balloon (counterpulsation) device, init
T82.513D@Breakdown of balloon (counterpulsation) device, subs
T82.513S@Breakdown of balloon (counterpulsation) device, sequela
T82.514A@Breakdown (mechanical) of infusion catheter, init encntr
T82.514D@Breakdown (mechanical) of infusion catheter, subs encntr
T82.514S@Breakdown (mechanical) of infusion catheter, sequela
T82.515A@Breakdown (mechanical) of umbrella device, initial encounter
T82.515D@Breakdown (mechanical) of umbrella device, subs encntr
T82.515S@Breakdown (mechanical) of umbrella device, sequela
T82.518A@Breakdown of cardiac and vascular devices and implants, init
T82.518D@Breakdown of cardiac and vascular devices and implants, subs
T82.518S@Brkdwn cardiac and vascular devices and implants, sequela
T82.519A@Brkdwn unsp cardiac and vascular devices and implants, init
T82.519D@Brkdwn unsp cardiac and vascular devices and implants, subs
T82.519S@Brkdwn unsp cardiac and vascular devices and implnt, sequela
T82.520A@Displacement of surgically created AV fistula, init
T82.520D@Displacement of surgically created AV fistula, subs
T82.520S@Displacement of surgically created AV fistula, sequela
T82.521A@Displacement of surgically created arteriovenous shunt, init
T82.521D@Displacement of surgically created arteriovenous shunt, subs
T82.521S@Displacement of surgically created AV shunt, sequela
T82.522A@Displacement of artificial heart, initial encounter
T82.522D@Displacement of artificial heart, subsequent encounter
T82.522S@Displacement of artificial heart, sequela
T82.523A@Displacement of balloon (counterpulsation) device, init
T82.523D@Displacement of balloon (counterpulsation) device, subs
T82.523S@Displacement of balloon (counterpulsation) device, sequela
T82.524A@Displacement of infusion catheter, initial encounter
T82.524D@Displacement of infusion catheter, subsequent encounter
T82.524S@Displacement of infusion catheter, sequela
T82.525A@Displacement of umbrella device, initial encounter
T82.525D@Displacement of umbrella device, subsequent encounter
T82.525S@Displacement of umbrella device, sequela
T82.528A@Displacmnt of cardiac and vascular devices and implnt, init
T82.528D@Displacmnt of cardiac and vascular devices and implnt, subs
T82.528S@Displacmnt of cardiac and vasc devices and implnt, sequela
T82.529A@Displacmnt of unsp cardiac and vasc devices and implnt, init
T82.529D@Displacmnt of unsp cardiac and vasc devices and implnt, subs
T82.529S@Displacmnt of unsp card and vasc devices and implnt, sequela
T82.530A@Leakage of surgically created arteriovenous fistula, init
T82.530D@Leakage of surgically created arteriovenous fistula, subs
T82.530S@Leakage of surgically created arteriovenous fistula, sequela
T82.531A@Leakage of surgically created arteriovenous shunt, init
T82.531D@Leakage of surgically created arteriovenous shunt, subs
T82.531S@Leakage of surgically created arteriovenous shunt, sequela
T82.532A@Leakage of artificial heart, initial encounter
T82.532D@Leakage of artificial heart, subsequent encounter
T82.532S@Leakage of artificial heart, sequela
T82.533A@Leakage of balloon (counterpulsation) device, init encntr
T82.533D@Leakage of balloon (counterpulsation) device, subs encntr
T82.533S@Leakage of balloon (counterpulsation) device, sequela
T82.534A@Leakage of infusion catheter, initial encounter
T82.534D@Leakage of infusion catheter, subsequent encounter
T82.534S@Leakage of infusion catheter, sequela
T82.535A@Leakage of umbrella device, initial encounter
T82.535D@Leakage of umbrella device, subsequent encounter
T82.535S@Leakage of umbrella device, sequela
T82.538A@Leakage of cardiac and vascular devices and implants, init
T82.538D@Leakage of cardiac and vascular devices and implants, subs
T82.538S@Leakage of cardiac and vascular devices and implnt, sequela
T82.539A@Leakage of unsp cardiac and vasc devices and implnt, init
T82.539D@Leakage of unsp cardiac and vasc devices and implnt, subs
T82.539S@Leakage of unsp cardiac and vasc devices and implnt, sequela
T82.590A@Mech compl of surgically created arteriovenous fistula, init
T82.590D@Mech compl of surgically created arteriovenous fistula, subs
T82.590S@Mech compl of surgically created AV fistula, sequela
T82.591A@Mech compl of surgically created arteriovenous shunt, init
T82.591D@Mech compl of surgically created arteriovenous shunt, subs
T82.591S@Mech compl of surgically created AV shunt, sequela
T82.592A@Mech compl of artificial heart, initial encounter
T82.592D@Mech compl of artificial heart, subsequent encounter
T82.592S@Other mechanical complication of artificial heart, sequela
T82.593A@Mech compl of balloon (counterpulsation) device, init encntr
T82.593D@Mech compl of balloon (counterpulsation) device, subs encntr
T82.593S@Mech compl of balloon (counterpulsation) device, sequela
T82.594A@Mech compl of infusion catheter, initial encounter
T82.594D@Mech compl of infusion catheter, subsequent encounter
T82.594S@Other mechanical complication of infusion catheter, sequela
T82.595A@Mech compl of umbrella device, initial encounter
T82.595D@Mech compl of umbrella device, subsequent encounter
T82.595S@Other mechanical complication of umbrella device, sequela
T82.598A@Mech compl of cardiac and vascular devices and implnt, init
T82.598D@Mech compl of cardiac and vascular devices and implnt, subs
T82.598S@Mech compl of cardiac and vasc devices and implnt, sequela
T82.599A@Mech compl of unsp cardiac and vasc devices and implnt, init
T82.599D@Mech compl of unsp cardiac and vasc devices and implnt, subs
T82.599S@Mech compl of unsp card and vasc devices and implnt, sequela
T82.6XXA@Infect/inflm reaction due to cardiac valve prosthesis, init
T82.6XXD@Infect/inflm reaction due to cardiac valve prosthesis, subs
T82.6XXS@Infect/inflm reaction due to cardiac valve prosth, sequela
T82.7XXA@Infect/inflm react d/t oth cardi/vasc dev/implnt/grft, init
T82.7XXD@Infect/inflm react d/t oth cardi/vasc dev/implnt/grft, subs
T82.7XXS@Infect/inflm react d/t oth cardi/vasc dev/implnt/grft, sqla
T82.817A@Embolism of cardiac prosth dev/grft, init
T82.817D@Embolism of cardiac prosth dev/grft, subs
T82.817S@Embolism of cardiac prosth dev/grft, sequela
T82.818A@Embolism of vascular prosth dev/grft, init
T82.818D@Embolism of vascular prosth dev/grft, subs
T82.818S@Embolism of vascular prosth dev/grft, sequela
T82.827A@Fibrosis of cardiac prosth dev/grft, init
T82.827D@Fibrosis of cardiac prosth dev/grft, subs
T82.827S@Fibrosis of cardiac prosth dev/grft, sequela
T82.828A@Fibrosis of vascular prosth dev/grft, init
T82.828D@Fibrosis of vascular prosth dev/grft, subs
T82.828S@Fibrosis of vascular prosth dev/grft, sequela
T82.837A@Hemorrhage of cardiac prosth dev/grft, init
T82.837D@Hemorrhage of cardiac prosth dev/grft, subs
T82.837S@Hemorrhage of cardiac prosth dev/grft, sequela
T82.838A@Hemorrhage of vascular prosth dev/grft, init
T82.838D@Hemorrhage of vascular prosth dev/grft, subs
T82.838S@Hemorrhage of vascular prosth dev/grft, sequela
T82.847A@Pain from cardiac prosth dev/grft, init
T82.847D@Pain from cardiac prosth dev/grft, subs
T82.847S@Pain from cardiac prosth dev/grft, sequela
T82.848A@Pain from vascular prosth dev/grft, init
T82.848D@Pain from vascular prosth dev/grft, subs
T82.848S@Pain from vascular prosth dev/grft, sequela
T82.857A@Stenosis of cardiac prosth dev/grft, init
T82.857D@Stenosis of cardiac prosth dev/grft, subs
T82.857S@Stenosis of cardiac prosth dev/grft, sequela
T82.858A@Stenosis of vascular prosth dev/grft, init
T82.858D@Stenosis of vascular prosth dev/grft, subs
T82.858S@Stenosis of vascular prosth dev/grft, sequela
T82.867A@Thrombosis of cardiac prosth dev/grft, init
T82.867D@Thrombosis of cardiac prosth dev/grft, subs
T82.867S@Thrombosis of cardiac prosth dev/grft, sequela
T82.868A@Thrombosis of vascular prosth dev/grft, init
T82.868D@Thrombosis of vascular prosth dev/grft, subs
T82.868S@Thrombosis of vascular prosth dev/grft, sequela
T82.897A@Oth complication of cardiac prosth dev/grft, init
T82.897D@Oth complication of cardiac prosth dev/grft, subs
T82.897S@Oth complication of cardiac prosth dev/grft, sequela
T82.898A@Oth complication of vascular prosth dev/grft, init
T82.898D@Oth complication of vascular prosth dev/grft, subs
T82.898S@Oth complication of vascular prosth dev/grft, sequela
T82.9XXA@Unsp comp of cardiac and vascular prosth dev/grft, init
T82.9XXD@Unsp comp of cardiac and vascular prosth dev/grft, subs
T82.9XXS@Unsp comp of cardiac and vascular prosth dev/grft, sequela
#
T83.010A@Breakdown (mechanical) of cystostomy catheter, init encntr
T83.010D@Breakdown (mechanical) of cystostomy catheter, subs encntr
T83.010S@Breakdown (mechanical) of cystostomy catheter, sequela
T83.018A@Breakdown (mechanical) of indwelling urethral catheter, init
T83.018D@Breakdown (mechanical) of indwelling urethral catheter, subs
T83.018S@Breakdown of indwelling urethral catheter, sequela
T83.020A@Displacement of cystostomy catheter, initial encounter
T83.020D@Displacement of cystostomy catheter, subsequent encounter
T83.020S@Displacement of cystostomy catheter, sequela
T83.028A@Displacement of oth indwelling urethral catheter, init
T83.028D@Displacement of oth indwelling urethral catheter, subs
T83.028S@Displacement of other indwelling urethral catheter, sequela
T83.030A@Leakage of cystostomy catheter, initial encounter
T83.030D@Leakage of cystostomy catheter, subsequent encounter
T83.030S@Leakage of cystostomy catheter, sequela
T83.038A@Leakage of other indwelling urethral catheter, init encntr
T83.038D@Leakage of other indwelling urethral catheter, subs encntr
T83.038S@Leakage of other indwelling urethral catheter, sequela
T83.090A@Mech compl of cystostomy catheter, initial encounter
T83.090D@Mech compl of cystostomy catheter, subsequent encounter
T83.090S@Mech compl of cystostomy catheter, sequela
T83.098A@Mech compl of oth indwelling urethral catheter, init encntr
T83.098D@Mech compl of oth indwelling urethral catheter, subs encntr
T83.098S@Mech compl of other indwelling urethral catheter, sequela
T83.110A@Breakdown of urinary electronic stimulator device, init
T83.110D@Breakdown of urinary electronic stimulator device, subs
T83.110S@Breakdown of urinary electronic stimulator device, sequela
T83.111A@Breakdown (mechanical) of urinary sphincter implant, init
T83.111D@Breakdown (mechanical) of urinary sphincter implant, subs
T83.111S@Breakdown (mechanical) of urinary sphincter implant, sequela
T83.112A@Breakdown (mechanical) of urinary stent, initial encounter
T83.112D@Breakdown (mechanical) of urinary stent, subs encntr
T83.112S@Breakdown (mechanical) of urinary stent, sequela
T83.118A@Breakdown (mechanical) of urinary devices and implants, init
T83.118D@Breakdown (mechanical) of urinary devices and implants, subs
T83.118S@Breakdown of urinary devices and implants, sequela
T83.120A@Displacement of urinary electronic stimulator device, init
T83.120D@Displacement of urinary electronic stimulator device, subs
T83.120S@Displacmnt of urinary electronic stimulator device, sequela
T83.121A@Displacement of urinary sphincter implant, initial encounter
T83.121D@Displacement of urinary sphincter implant, subs encntr
T83.121S@Displacement of urinary sphincter implant, sequela
T83.122A@Displacement of urinary stent, initial encounter
T83.122D@Displacement of urinary stent, subsequent encounter
T83.122S@Displacement of urinary stent, sequela
T83.128A@Displacement of oth urinary devices and implants, init
T83.128D@Displacement of oth urinary devices and implants, subs
T83.128S@Displacement of other urinary devices and implants, sequela
T83.190A@Mech compl of urinary electronic stimulator device, init
T83.190D@Mech compl of urinary electronic stimulator device, subs
T83.190S@Mech compl of urinary electronic stimulator device, sequela
T83.191A@Mech compl of urinary sphincter implant, initial encounter
T83.191D@Mech compl of urinary sphincter implant, subs encntr
T83.191S@Mech compl of urinary sphincter implant, sequela
T83.192A@Mech compl of urinary stent, initial encounter
T83.192D@Mech compl of urinary stent, subsequent encounter
T83.192S@Other mechanical complication of urinary stent, sequela
T83.198A@Mech compl of oth urinary devices and implants, init encntr
T83.198D@Mech compl of oth urinary devices and implants, subs encntr
T83.198S@Mech compl of other urinary devices and implants, sequela
T83.21XA@Breakdown (mechanical) of graft of urinary organ, init
T83.21XD@Breakdown (mechanical) of graft of urinary organ, subs
T83.21XS@Breakdown (mechanical) of graft of urinary organ, sequela
T83.22XA@Displacement of graft of urinary organ, initial encounter
T83.22XD@Displacement of graft of urinary organ, subsequent encounter
T83.22XS@Displacement of graft of urinary organ, sequela
T83.23XA@Leakage of graft of urinary organ, initial encounter
T83.23XD@Leakage of graft of urinary organ, subsequent encounter
T83.23XS@Leakage of graft of urinary organ, sequela
T83.29XA@Mech compl of graft of urinary organ, initial encounter
T83.29XD@Mech compl of graft of urinary organ, subsequent encounter
T83.29XS@Mech compl of graft of urinary organ, sequela
T83.31XA@Breakdown (mechanical) of intrauterine contracep dev, init
T83.31XD@Breakdown (mechanical) of intrauterine contracep dev, subs
T83.31XS@Breakdown of intrauterine contracep dev, sequela
T83.32XA@Displacement of intrauterine contraceptive device, init
T83.32XD@Displacement of intrauterine contraceptive device, subs
T83.32XS@Displacement of intrauterine contraceptive device, sequela
T83.39XA@Mech compl of intrauterine contraceptive device, init encntr
T83.39XD@Mech compl of intrauterine contraceptive device, subs encntr
T83.39XS@Mech compl of intrauterine contraceptive device, sequela
T83.410A@Breakdown of penile (implanted) prosthesis, init
T83.410D@Breakdown of penile (implanted) prosthesis, subs
T83.410S@Breakdown of penile (implanted) prosthesis, sequela
T83.418A@Breakdown of prosth dev/implnt/grft of genitl trct, init
T83.418D@Breakdown of prosth dev/implnt/grft of genitl trct, subs
T83.418S@Breakdown of prosth dev/implnt/grft of genitl trct, sequela
T83.420A@Displacement of penile (implanted) prosthesis, init encntr
T83.420D@Displacement of penile (implanted) prosthesis, subs encntr
T83.420S@Displacement of penile (implanted) prosthesis, sequela
T83.428A@Displacement of prosth dev/implnt/grft of genitl trct, init
T83.428D@Displacement of prosth dev/implnt/grft of genitl trct, subs
T83.428S@Displacmnt of prosth dev/implnt/grft of genitl trct, sequela
T83.490A@Mech compl of penile (implanted) prosthesis, init encntr
T83.490D@Mech compl of penile (implanted) prosthesis, subs encntr
T83.490S@Mech compl of penile (implanted) prosthesis, sequela
T83.498A@Mech compl of prosth dev/implnt/grft of genital tract, init
T83.498D@Mech compl of prosth dev/implnt/grft of genital tract, subs
T83.498S@Mech compl of prosth dev/implnt/grft of genitl trct, sequela
T83.51XA@Infect/inflm reaction due to indwell urinary catheter, init
T83.51XD@Infect/inflm reaction due to indwell urinary catheter, subs
T83.51XS@Infect/inflm reaction due to indwell urinary cath, sequela
T83.59XA@Infect/inflm react d/t prosth dev/grft in urinry sys, init
T83.59XD@Infect/inflm react d/t prosth dev/grft in urinry sys, subs
T83.59XS@Infect/inflm react d/t prosth dev/grft in urinry sys, sqla
T83.6XXA@Infect/inflm react d/t prosth dev/grft in genitl trct, init
T83.6XXD@Infect/inflm react d/t prosth dev/grft in genitl trct, subs
T83.6XXS@Infect/inflm react d/t prosth dev/grft in genitl trct, sqla
T83.711A@Erosion of implnt vag prstht mtrl to surrnd org/tiss, init
T83.711D@Erosion of implnt vag prstht mtrl to surrnd org/tiss, subs
T83.711S@Erosion of implnt vag prstht mtrl to surrnd org/tiss, sqla
T83.718A@Erosion of implanted prstht mtrl to surrnd org/tiss, init
T83.718D@Erosion of implanted prstht mtrl to surrnd org/tiss, subs
T83.718S@Erosion of implanted prstht mtrl to surrnd org/tiss, sequela
T83.721A@Exposure of implnt vag prstht mtrl into vagina, init encntr
T83.721D@Exposure of implnt vag prstht mtrl into vagina, subs encntr
T83.721S@Exposure of implnt vag prstht mtrl into vagina, sequela
T83.728A@Exposure of implanted prstht mtrl to surrnd org/tiss, init
T83.728D@Exposure of implanted prstht mtrl to surrnd org/tiss, subs
T83.728S@Exposure of implnt prstht mtrl to surrnd org/tiss, sequela
T83.81XA@Embolism of genitourinary prosth dev/grft, init
T83.81XD@Embolism of genitourinary prosth dev/grft, subs
T83.81XS@Embolism of genitourinary prosth dev/grft, sequela
T83.82XA@Fibrosis of genitourinary prosth dev/grft, init
T83.82XD@Fibrosis of genitourinary prosth dev/grft, subs
T83.82XS@Fibrosis of genitourinary prosth dev/grft, sequela
T83.83XA@Hemorrhage of genitourinary prosth dev/grft, init
T83.83XD@Hemorrhage of genitourinary prosth dev/grft, subs
T83.83XS@Hemorrhage of genitourinary prosth dev/grft, sequela
T83.84XA@Pain from genitourinary prosth dev/grft, init
T83.84XD@Pain from genitourinary prosth dev/grft, subs
T83.84XS@Pain from genitourinary prosth dev/grft, sequela
T83.85XA@Stenosis of genitourinary prosth dev/grft, init
T83.85XD@Stenosis of genitourinary prosth dev/grft, subs
T83.85XS@Stenosis of genitourinary prosth dev/grft, sequela
T83.86XA@Thrombosis of genitourinary prosth dev/grft, init
T83.86XD@Thrombosis of genitourinary prosth dev/grft, subs
T83.86XS@Thrombosis of genitourinary prosth dev/grft, sequela
T83.89XA@Oth complication of genitourinary prosth dev/grft, init
T83.89XD@Oth complication of genitourinary prosth dev/grft, subs
T83.89XS@Oth complication of genitourinary prosth dev/grft, sequela
T83.9XXA@Unsp complication of genitourinary prosth dev/grft, init
T83.9XXD@Unsp complication of genitourinary prosth dev/grft, subs
T83.9XXS@Unsp complication of genitourinary prosth dev/grft, sequela
#
T84.010A@Broken internal right hip prosthesis, initial encounter
T84.010D@Broken internal right hip prosthesis, subsequent encounter
T84.010S@Broken internal right hip prosthesis, sequela
T84.011A@Broken internal left hip prosthesis, initial encounter
T84.011D@Broken internal left hip prosthesis, subsequent encounter
T84.011S@Broken internal left hip prosthesis, sequela
T84.012A@Broken internal right knee prosthesis, initial encounter
T84.012D@Broken internal right knee prosthesis, subsequent encounter
T84.012S@Broken internal right knee prosthesis, sequela
T84.013A@Broken internal left knee prosthesis, initial encounter
T84.013D@Broken internal left knee prosthesis, subsequent encounter
T84.013S@Broken internal left knee prosthesis, sequela
T84.018A@Broken internal joint prosthesis, other site, init encntr
T84.018D@Broken internal joint prosthesis, other site, subs encntr
T84.018S@Broken internal joint prosthesis, other site, sequela
T84.019A@Broken internal joint prosthesis, unsp site, init encntr
T84.019D@Broken internal joint prosthesis, unsp site, subs encntr
T84.019S@Broken internal joint prosthesis, unspecified site, sequela
T84.020A@Dislocation of internal right hip prosthesis, init encntr
T84.020D@Dislocation of internal right hip prosthesis, subs encntr
T84.020S@Dislocation of internal right hip prosthesis, sequela
T84.021A@Dislocation of internal left hip prosthesis, init encntr
T84.021D@Dislocation of internal left hip prosthesis, subs encntr
T84.021S@Dislocation of internal left hip prosthesis, sequela
T84.022A@Instability of internal right knee prosthesis, init encntr
T84.022D@Instability of internal right knee prosthesis, subs encntr
T84.022S@Instability of internal right knee prosthesis, sequela
T84.023A@Instability of internal left knee prosthesis, init encntr
T84.023D@Instability of internal left knee prosthesis, subs encntr
T84.023S@Instability of internal left knee prosthesis, sequela
T84.028A@Dislocation of other internal joint prosthesis, init encntr
T84.028D@Dislocation of other internal joint prosthesis, subs encntr
T84.028S@Dislocation of other internal joint prosthesis, sequela
T84.029A@Dislocation of unsp internal joint prosthesis, init encntr
T84.029D@Dislocation of unsp internal joint prosthesis, subs encntr
T84.029S@Dislocation of unsp internal joint prosthesis, sequela
T84.030A@Mech loosening of internal right hip prosthetic joint, init
T84.030D@Mech loosening of internal right hip prosthetic joint, subs
T84.030S@Mech loosening of internal right hip prosth joint, sequela
T84.031A@Mech loosening of internal left hip prosthetic joint, init
T84.031D@Mech loosening of internal left hip prosthetic joint, subs
T84.031S@Mech loosening of internal left hip prosth joint, sequela
T84.032A@Mech loosening of internal right knee prosthetic joint, init
T84.032D@Mech loosening of internal right knee prosthetic joint, subs
T84.032S@Mech loosening of internal right knee prosth joint, sequela
T84.033A@Mech loosening of internal left knee prosthetic joint, init
T84.033D@Mech loosening of internal left knee prosthetic joint, subs
T84.033S@Mech loosening of internal left knee prosth joint, sequela
T84.038A@Mechanical loosening of oth internal prosthetic joint, init
T84.038D@Mechanical loosening of oth internal prosthetic joint, subs
T84.038S@Mechanical loosening of internal prosthetic joint, sequela
T84.039A@Mechanical loosening of unsp internal prosthetic joint, init
T84.039D@Mechanical loosening of unsp internal prosthetic joint, subs
T84.039S@Mech loosening of unsp internal prosthetic joint, sequela
T84.040A@Periprosth fracture around internal prosth r hip jt, init
T84.040D@Periprosth fracture around internal prosth r hip jt, subs
T84.040S@Periprosth fracture around internal prosth r hip jt, sequela
T84.041A@Periprosth fracture around internal prosth l hip jt, init
T84.041D@Periprosth fracture around internal prosth l hip jt, subs
T84.041S@Periprosth fracture around internal prosth l hip jt, sequela
T84.042A@Periprosth fracture around internal prosth r knee jt, init
T84.042D@Periprosth fracture around internal prosth r knee jt, subs
T84.042S@Periprosth fx around internal prosth r knee jt, sequela
T84.043A@Periprosth fracture around internal prosth l knee jt, init
T84.043D@Periprosth fracture around internal prosth l knee jt, subs
T84.043S@Periprosth fx around internal prosth l knee jt, sequela
T84.048A@Periprosth fracture around oth internal prosth joint, init
T84.048D@Periprosth fracture around oth internal prosth joint, subs
T84.048S@Periprosth fx around oth internal prosth joint, sequela
T84.049A@Periprosth fracture around unsp internal prosth joint, init
T84.049D@Periprosth fracture around unsp internal prosth joint, subs
T84.049S@Periprosth fx around unsp internal prosth joint, sequela
T84.050A@Periprosth osteolysis of internal prosthetic r hip jt, init
T84.050D@Periprosth osteolysis of internal prosthetic r hip jt, subs
T84.050S@Periprosth osteolys of internal prosthetic r hip jt, sequela
T84.051A@Periprosth osteolysis of internal prosthetic l hip jt, init
T84.051D@Periprosth osteolysis of internal prosthetic l hip jt, subs
T84.051S@Periprosth osteolys of internal prosthetic l hip jt, sequela
T84.052A@Periprosth osteolysis of internal prosthetic r knee jt, init
T84.052D@Periprosth osteolysis of internal prosthetic r knee jt, subs
T84.052S@Periprosth osteolys of internal prosth r knee jt, sequela
T84.053A@Periprosth osteolysis of internal prosthetic l knee jt, init
T84.053D@Periprosth osteolysis of internal prosthetic l knee jt, subs
T84.053S@Periprosth osteolys of internal prosth l knee jt, sequela
T84.058A@Periprosthetic osteolysis of internal prosthetic joint, init
T84.058D@Periprosthetic osteolysis of internal prosthetic joint, subs
T84.058S@Periprosth osteolysis of internal prosthetic joint, sequela
T84.059A@Periprosth osteolys of unsp internal prosthetic joint, init
T84.059D@Periprosth osteolys of unsp internal prosthetic joint, subs
T84.059S@Periprosth osteolys of unsp internal prosth joint, sequela
T84.060A@Wear of artic bearing surface of int prosth r hip jt, init
T84.060D@Wear of artic bearing surface of int prosth r hip jt, subs
T84.060S@Wear of artic bearing surface of int prosth r hip jt, sqla
T84.061A@Wear of artic bearing surface of int prosth l hip jt, init
T84.061D@Wear of artic bearing surface of int prosth l hip jt, subs
T84.061S@Wear of artic bearing surface of int prosth l hip jt, sqla
T84.062A@Wear of artic bearing surface of int prosth r knee jt, init
T84.062D@Wear of artic bearing surface of int prosth r knee jt, subs
T84.062S@Wear of artic bearing surface of int prosth r knee jt, sqla
T84.063A@Wear of artic bearing surface of int prosth l knee jt, init
T84.063D@Wear of artic bearing surface of int prosth l knee jt, subs
T84.063S@Wear of artic bearing surface of int prosth l knee jt, sqla
T84.068A@Wear of artic bearing surface of internal prosth joint, init
T84.068D@Wear of artic bearing surface of internal prosth joint, subs
T84.068S@Wear of artic bearing surface of int prosth joint, sequela
T84.069A@Wear of artic bearing surface of unsp int prosth joint, init
T84.069D@Wear of artic bearing surface of unsp int prosth joint, subs
T84.069S@Wear of artic bearing surface of unsp int prosth joint, sqla
T84.090A@Mech compl of internal right hip prosthesis, init encntr
T84.090D@Mech compl of internal right hip prosthesis, subs encntr
T84.090S@Mech compl of internal right hip prosthesis, sequela
T84.091A@Mech compl of internal left hip prosthesis, init encntr
