V00.01XA@Ped on foot injured in collision w roller-skater, init
X36.1XXS@Avalanche, landslide, or mudslide, sequela
#
X37.0XXA@Hurricane, initial encounter
X37.0XXD@Hurricane, subsequent encounter
X37.0XXS@Hurricane, sequela
X37.1XXA@Tornado, initial encounter
X37.1XXD@Tornado, subsequent encounter
X37.1XXS@Tornado, sequela
X37.2XXA@Blizzard (snow)(ice), initial encounter
X37.2XXD@Blizzard (snow)(ice), subsequent encounter
X37.2XXS@Blizzard (snow)(ice), sequela
X37.3XXA@Dust storm, initial encounter
X37.3XXD@Dust storm, subsequent encounter
X37.3XXS@Dust storm, sequela
X37.41XA@Tidal wave due to earthquake or volcanic eruption, init
X37.41XD@Tidal wave due to earthquake or volcanic eruption, subs
X37.41XS@Tidal wave due to earthquake or volcanic eruption, sequela
X37.42XA@Tidal wave due to storm, initial encounter
X37.42XD@Tidal wave due to storm, subsequent encounter
X37.42XS@Tidal wave due to storm, sequela
X37.43XA@Tidal wave due to landslide, initial encounter
X37.43XD@Tidal wave due to landslide, subsequent encounter
X37.43XS@Tidal wave due to landslide, sequela
X37.8XXA@Other cataclysmic storms, initial encounter
X37.8XXD@Other cataclysmic storms, subsequent encounter
X37.8XXS@Other cataclysmic storms, sequela
X37.9XXA@Unspecified cataclysmic storm, initial encounter
X37.9XXD@Unspecified cataclysmic storm, subsequent encounter
X37.9XXS@Unspecified cataclysmic storm, sequela
#
X38.XXXA@Flood, initial encounter
X38.XXXD@Flood, subsequent encounter
X38.XXXS@Flood, sequela
#
X39.01XA@Exposure to radon, initial encounter
X39.01XD@Exposure to radon, subsequent encounter
X39.01XS@Exposure to radon, sequela
X39.08XA@Exposure to other natural radiation, initial encounter
X39.08XD@Exposure to other natural radiation, subsequent encounter
X39.08XS@Exposure to other natural radiation, sequela
X39.8XXA@Other exposure to forces of nature, initial encounter
X39.8XXD@Other exposure to forces of nature, subsequent encounter
X39.8XXS@Other exposure to forces of nature, sequela
#
X52.XXXA@Prolonged stay in weightless environment, initial encounter
X52.XXXD@Prolonged stay in weightless environment, subs encntr
X52.XXXS@Prolonged stay in weightless environment, sequela
#
X58.XXXA@Exposure to other specified factors, initial encounter
X58.XXXD@Exposure to other specified factors, subsequent encounter
X58.XXXS@Exposure to other specified factors, sequela
#
X71.0XXA@Intentional self-harm by drown while in bathtub, init
X71.0XXD@Intentional self-harm by drown while in bathtub, subs
X71.0XXS@Intentional self-harm by drown while in bathtub, sequela
X71.1XXA@Intentional self-harm by drown while in swimming pool, init
X71.1XXD@Intentional self-harm by drown while in swimming pool, subs
X71.1XXS@Self-harm by drown while in swimming pool, sequela
X71.2XXA@Self-harm by drown after jump into swimming pool, init
X71.2XXD@Self-harm by drown after jump into swimming pool, subs
X71.2XXS@Self-harm by drown after jump into swimming pool, sequela
X71.3XXA@Intentional self-harm by drown in natural water, init
X71.3XXD@Intentional self-harm by drown in natural water, subs
X71.3XXS@Intentional self-harm by drown in natural water, sequela
X71.8XXA@Oth intentional self-harm by drowning and submersion, init
X71.8XXD@Oth intentional self-harm by drowning and submersion, subs
X71.8XXS@Oth intentional self-harm by drown, sequela
X71.9XXA@Intentional self-harm by drowning and submersion, unsp, init
X71.9XXD@Intentional self-harm by drowning and submersion, unsp, subs
X71.9XXS@Intentional self-harm by drown, unsp, sequela
#
X72.XXXA@Intentional self-harm by handgun discharge, init encntr
X72.XXXD@Intentional self-harm by handgun discharge, subs encntr
X72.XXXS@Intentional self-harm by handgun discharge, sequela
#
X73.0XXA@Intentional self-harm by shotgun discharge, init encntr
X73.0XXD@Intentional self-harm by shotgun discharge, subs encntr
X73.0XXS@Intentional self-harm by shotgun discharge, sequela
X73.1XXA@Intentional self-harm by hunting rifle discharge, init
X73.1XXD@Intentional self-harm by hunting rifle discharge, subs
X73.1XXS@Intentional self-harm by hunting rifle discharge, sequela
X73.2XXA@Intentional self-harm by machine gun discharge, init encntr
X73.2XXD@Intentional self-harm by machine gun discharge, subs encntr
X73.2XXS@Intentional self-harm by machine gun discharge, sequela
X73.8XXA@Intentional self-harm by oth larger firearm discharge, init
X73.8XXD@Intentional self-harm by oth larger firearm discharge, subs
X73.8XXS@Self-harm by oth larger firearm discharge, sequela
X73.9XXA@Intentional self-harm by unsp larger firearm discharge, init
X73.9XXD@Intentional self-harm by unsp larger firearm discharge, subs
X73.9XXS@Self-harm by unsp larger firearm discharge, sequela
#
X74.01XA@Intentional self-harm by airgun, initial encounter
X74.01XD@Intentional self-harm by airgun, subsequent encounter
X74.01XS@Intentional self-harm by airgun, sequela
X74.02XA@Intentional self-harm by paintball gun, initial encounter
X74.02XD@Intentional self-harm by paintball gun, subsequent encounter
X74.02XS@Intentional self-harm by paintball gun, sequela
X74.09XA@Self-harm by oth gas, air or spring-operated gun, init
X74.09XD@Self-harm by oth gas, air or spring-operated gun, subs
X74.09XS@Self-harm by oth gas, air or spring-operated gun, sequela
X74.8XXA@Intentional self-harm by oth firearm discharge, init encntr
X74.8XXD@Intentional self-harm by oth firearm discharge, subs encntr
X74.8XXS@Intentional self-harm by other firearm discharge, sequela
X74.9XXA@Intentional self-harm by unsp firearm discharge, init encntr
X74.9XXD@Intentional self-harm by unsp firearm discharge, subs encntr
X74.9XXS@Intentional self-harm by unsp firearm discharge, sequela
#
X75.XXXA@Intentional self-harm by explosive material, init encntr
X75.XXXD@Intentional self-harm by explosive material, subs encntr
X75.XXXS@Intentional self-harm by explosive material, sequela
#
X76.XXXA@Intentional self-harm by smoke, fire and flames, init encntr
X76.XXXD@Intentional self-harm by smoke, fire and flames, subs encntr
X76.XXXS@Intentional self-harm by smoke, fire and flames, sequela
#
X77.0XXA@Intentional self-harm by steam or hot vapors, init encntr
X77.0XXD@Intentional self-harm by steam or hot vapors, subs encntr
X77.0XXS@Intentional self-harm by steam or hot vapors, sequela
X77.1XXA@Intentional self-harm by hot tap water, initial encounter
X77.1XXD@Intentional self-harm by hot tap water, subsequent encounter
X77.1XXS@Intentional self-harm by hot tap water, sequela
X77.2XXA@Intentional self-harm by other hot fluids, initial encounter
X77.2XXD@Intentional self-harm by other hot fluids, subs encntr
X77.2XXS@Intentional self-harm by other hot fluids, sequela
X77.3XXA@Intentional self-harm by hot household appliances, init
X77.3XXD@Intentional self-harm by hot household appliances, subs
X77.3XXS@Intentional self-harm by hot household appliances, sequela
X77.8XXA@Intentional self-harm by other hot objects, init encntr
X77.8XXD@Intentional self-harm by other hot objects, subs encntr
X77.8XXS@Intentional self-harm by other hot objects, sequela
X77.9XXA@Intentional self-harm by unsp hot objects, init encntr
X77.9XXD@Intentional self-harm by unsp hot objects, subs encntr
X77.9XXS@Intentional self-harm by unspecified hot objects, sequela
#
X78.0XXA@Intentional self-harm by sharp glass, initial encounter
X78.0XXD@Intentional self-harm by sharp glass, subsequent encounter
X78.0XXS@Intentional self-harm by sharp glass, sequela
X78.1XXA@Intentional self-harm by knife, initial encounter
X78.1XXD@Intentional self-harm by knife, subsequent encounter
X78.1XXS@Intentional self-harm by knife, sequela
X78.2XXA@Intentional self-harm by sword or dagger, initial encounter
X78.2XXD@Intentional self-harm by sword or dagger, subs encntr
X78.2XXS@Intentional self-harm by sword or dagger, sequela
X78.8XXA@Intentional self-harm by other sharp object, init encntr
X78.8XXD@Intentional self-harm by other sharp object, subs encntr
X78.8XXS@Intentional self-harm by other sharp object, sequela
X78.9XXA@Intentional self-harm by unsp sharp object, init encntr
X78.9XXD@Intentional self-harm by unsp sharp object, subs encntr
X78.9XXS@Intentional self-harm by unspecified sharp object, sequela
#
X79.XXXA@Intentional self-harm by blunt object, initial encounter
X79.XXXD@Intentional self-harm by blunt object, subsequent encounter
X79.XXXS@Intentional self-harm by blunt object, sequela
#
X80.XXXA@Intentional self-harm by jumping from a high place, init
X80.XXXD@Intentional self-harm by jumping from a high place, subs
X80.XXXS@Intentional self-harm by jumping from a high place, sequela
#
X81.0XXA@Self-harm by jumping or lying in front of mtr veh, init
X81.0XXD@Self-harm by jumping or lying in front of mtr veh, subs
X81.0XXS@Self-harm by jumping or lying in front of mtr veh, sequela
X81.1XXA@Slf-hrm by jumping or lying in front of (subway) train, init
X81.1XXD@Slf-hrm by jumping or lying in front of (subway) train, subs
X81.1XXS@Slf-hrm by jumping or lying in front of train, sequela
X81.8XXA@Slf-hrm by jumping or lying in front of moving object, init
X81.8XXD@Slf-hrm by jumping or lying in front of moving object, subs
X81.8XXS@Slf-hrm by jump or lying in front of moving object, sequela
#
X82.0XXA@Intentional collision of motor vehicle w mtr veh, init
X82.0XXD@Intentional collision of motor vehicle w mtr veh, subs
X82.0XXS@Intentional collision of motor vehicle w mtr veh, sequela
X82.1XXA@Intentional collision of motor vehicle w train, init encntr
X82.1XXD@Intentional collision of motor vehicle w train, subs encntr
X82.1XXS@Intentional collision of motor vehicle with train, sequela
X82.2XXA@Intentional collision of motor vehicle w tree, init encntr
X82.2XXD@Intentional collision of motor vehicle w tree, subs encntr
X82.2XXS@Intentional collision of motor vehicle with tree, sequela
X82.8XXA@Oth intentional self-harm by crashing of motor vehicle, init
X82.8XXD@Oth intentional self-harm by crashing of motor vehicle, subs
X82.8XXS@Oth self-harm by crashing of motor vehicle, sequela
#
X83.0XXA@Intentional self-harm by crashing of aircraft, init encntr
X83.0XXD@Intentional self-harm by crashing of aircraft, subs encntr
X83.0XXS@Intentional self-harm by crashing of aircraft, sequela
X83.1XXA@Intentional self-harm by electrocution, initial encounter
X83.1XXD@Intentional self-harm by electrocution, subsequent encounter
X83.1XXS@Intentional self-harm by electrocution, sequela
X83.2XXA@Intentional self-harm by exposure to extremes of cold, init
X83.2XXD@Intentional self-harm by exposure to extremes of cold, subs
X83.2XXS@Self-harm by exposure to extremes of cold, sequela
X83.8XXA@Intentional self-harm by other specified means, init encntr
X83.8XXD@Intentional self-harm by other specified means, subs encntr
X83.8XXS@Intentional self-harm by other specified means, sequela
#
X92.0XXA@Assault by drowning and submersion while in bathtub, init
X92.0XXD@Assault by drowning and submersion while in bathtub, subs
X92.0XXS@Assault by drowning and submersion while in bathtub, sequela
X92.1XXA@Assault by drown while in swimming pool, init
X92.1XXD@Assault by drown while in swimming pool, subs
X92.1XXS@Assault by drown while in swimming pool, sequela
X92.2XXA@Assault by drown after push into swimming pool, init
X92.2XXD@Assault by drown after push into swimming pool, subs
X92.2XXS@Assault by drown after push into swimming pool, sequela
X92.3XXA@Assault by drowning and submersion in natural water, init
X92.3XXD@Assault by drowning and submersion in natural water, subs
X92.3XXS@Assault by drowning and submersion in natural water, sequela
X92.8XXA@Other assault by drowning and submersion, initial encounter
X92.8XXD@Other assault by drowning and submersion, subs encntr
X92.8XXS@Other assault by drowning and submersion, sequela
X92.9XXA@Assault by drowning and submersion, unspecified, init encntr
X92.9XXD@Assault by drowning and submersion, unspecified, subs encntr
X92.9XXS@Assault by drowning and submersion, unspecified, sequela
#
X93.XXXA@Assault by handgun discharge, initial encounter
X93.XXXD@Assault by handgun discharge, subsequent encounter
X93.XXXS@Assault by handgun discharge, sequela
#
X94.0XXA@Assault by shotgun, initial encounter
X94.0XXD@Assault by shotgun, subsequent encounter
X94.0XXS@Assault by shotgun, sequela
X94.1XXA@Assault by hunting rifle, initial encounter
X94.1XXD@Assault by hunting rifle, subsequent encounter
X94.1XXS@Assault by hunting rifle, sequela
X94.2XXA@Assault by machine gun, initial encounter
X94.2XXD@Assault by machine gun, subsequent encounter
X94.2XXS@Assault by machine gun, sequela
X94.8XXA@Assault by other larger firearm discharge, initial encounter
X94.8XXD@Assault by other larger firearm discharge, subs encntr
X94.8XXS@Assault by other larger firearm discharge, sequela
X94.9XXA@Assault by unspecified larger firearm discharge, init encntr
X94.9XXD@Assault by unspecified larger firearm discharge, subs encntr
X94.9XXS@Assault by unspecified larger firearm discharge, sequela
#
X95.01XA@Assault by airgun discharge, initial encounter
X95.01XD@Assault by airgun discharge, subsequent encounter
X95.01XS@Assault by airgun discharge, sequela
X95.02XA@Assault by paintball gun discharge, initial encounter
X95.02XD@Assault by paintball gun discharge, subsequent encounter
X95.02XS@Assault by paintball gun discharge, sequela
X95.09XA@Assault by oth gas, air or spring-operated gun, init encntr
X95.09XD@Assault by oth gas, air or spring-operated gun, subs encntr
X95.09XS@Assault by other gas, air or spring-operated gun, sequela
X95.8XXA@Assault by other firearm discharge, initial encounter
X95.8XXD@Assault by other firearm discharge, subsequent encounter
X95.8XXS@Assault by other firearm discharge, sequela
X95.9XXA@Assault by unspecified firearm discharge, initial encounter
X95.9XXD@Assault by unspecified firearm discharge, subs encntr
X95.9XXS@Assault by unspecified firearm discharge, sequela
#
X96.0XXA@Assault by antipersonnel bomb, initial encounter
X96.0XXD@Assault by antipersonnel bomb, subsequent encounter
X96.0XXS@Assault by antipersonnel bomb, sequela
X96.1XXA@Assault by gasoline bomb, initial encounter
X96.1XXD@Assault by gasoline bomb, subsequent encounter
X96.1XXS@Assault by gasoline bomb, sequela
X96.2XXA@Assault by letter bomb, initial encounter
X96.2XXD@Assault by letter bomb, subsequent encounter
X96.2XXS@Assault by letter bomb, sequela
X96.3XXA@Assault by fertilizer bomb, initial encounter
X96.3XXD@Assault by fertilizer bomb, subsequent encounter
X96.3XXS@Assault by fertilizer bomb, sequela
X96.4XXA@Assault by pipe bomb, initial encounter
X96.4XXD@Assault by pipe bomb, subsequent encounter
X96.4XXS@Assault by pipe bomb, sequela
X96.8XXA@Assault by other specified explosive, initial encounter
X96.8XXD@Assault by other specified explosive, subsequent encounter
X96.8XXS@Assault by other specified explosive, sequela
X96.9XXA@Assault by unspecified explosive, initial encounter
X96.9XXD@Assault by unspecified explosive, subsequent encounter
X96.9XXS@Assault by unspecified explosive, sequela
#
X97.XXXA@Assault by smoke, fire and flames, initial encounter
X97.XXXD@Assault by smoke, fire and flames, subsequent encounter
X97.XXXS@Assault by smoke, fire and flames, sequela
#
X98.0XXA@Assault by steam or hot vapors, initial encounter
X98.0XXD@Assault by steam or hot vapors, subsequent encounter
X98.0XXS@Assault by steam or hot vapors, sequela
X98.1XXA@Assault by hot tap water, initial encounter
X98.1XXD@Assault by hot tap water, subsequent encounter
X98.1XXS@Assault by hot tap water, sequela
X98.2XXA@Assault by hot fluids, initial encounter
X98.2XXD@Assault by hot fluids, subsequent encounter
X98.2XXS@Assault by hot fluids, sequela
X98.3XXA@Assault by hot household appliances, initial encounter
X98.3XXD@Assault by hot household appliances, subsequent encounter
X98.3XXS@Assault by hot household appliances, sequela
X98.8XXA@Assault by other hot objects, initial encounter
X98.8XXD@Assault by other hot objects, subsequent encounter
X98.8XXS@Assault by other hot objects, sequela
X98.9XXA@Assault by unspecified hot objects, initial encounter
X98.9XXD@Assault by unspecified hot objects, subsequent encounter
X98.9XXS@Assault by unspecified hot objects, sequela
#
X99.0XXA@Assault by sharp glass, initial encounter
X99.0XXD@Assault by sharp glass, subsequent encounter
X99.0XXS@Assault by sharp glass, sequela
X99.1XXA@Assault by knife, initial encounter
X99.1XXD@Assault by knife, subsequent encounter
X99.1XXS@Assault by knife, sequela
X99.2XXA@Assault by sword or dagger, initial encounter
X99.2XXD@Assault by sword or dagger, subsequent encounter
X99.2XXS@Assault by sword or dagger, sequela
X99.8XXA@Assault by other sharp object, initial encounter
X99.8XXD@Assault by other sharp object, subsequent encounter
X99.8XXS@Assault by other sharp object, sequela
X99.9XXA@Assault by unspecified sharp object, initial encounter
X99.9XXD@Assault by unspecified sharp object, subsequent encounter
X99.9XXS@Assault by unspecified sharp object, sequela
#
Y00.XXXA@Assault by blunt object, initial encounter
Y00.XXXD@Assault by blunt object, subsequent encounter
Y00.XXXS@Assault by blunt object, sequela
#
Y01.XXXA@Assault by pushing from high place, initial encounter
Y01.XXXD@Assault by pushing from high place, subsequent encounter
Y01.XXXS@Assault by pushing from high place, sequela
#
Y02.0XXA@Assault by push/place victim in front of motor vehicle, init
Y02.0XXD@Assault by push/place victim in front of motor vehicle, subs
Y02.0XXS@Assault by push/place victim in front of mtr veh, sequela
Y02.1XXA@Assault by push/place victim in front of train, init
Y02.1XXD@Assault by push/place victim in front of train, subs
Y02.1XXS@Assault by push/place victim in front of train, sequela
Y02.8XXA@Assault by push/place victim in front of moving object, init
Y02.8XXD@Assault by push/place victim in front of moving object, subs
Y02.8XXS@Asslt by push/place victim in front of moving object, sqla
Y03.0XXA@Assault by being hit or run over by motor vehicle, init
Y03.0XXD@Assault by being hit or run over by motor vehicle, subs
Y03.0XXS@Assault by being hit or run over by motor vehicle, sequela
Y03.8XXA@Other assault by crashing of motor vehicle, init encntr
Y03.8XXD@Other assault by crashing of motor vehicle, subs encntr
Y03.8XXS@Other assault by crashing of motor vehicle, sequela
#
Y04.0XXA@Assault by unarmed brawl or fight, initial encounter
Y04.0XXD@Assault by unarmed brawl or fight, subsequent encounter
Y04.0XXS@Assault by unarmed brawl or fight, sequela
Y04.1XXA@Assault by human bite, initial encounter
Y04.1XXD@Assault by human bite, subsequent encounter
Y04.1XXS@Assault by human bite, sequela
Y04.2XXA@Asslt by strike agnst or bumped into by another person, init
Y04.2XXD@Asslt by strike agnst or bumped into by another person, subs
Y04.2XXS@Asslt by strike agnst or bumped into by another person, sqla
Y04.8XXA@Assault by other bodily force, initial encounter
Y04.8XXD@Assault by other bodily force, subsequent encounter
Y04.8XXS@Assault by other bodily force, sequela
#
Y07.01@Husband, perpetrator of maltreatment and neglect
Y07.02@Wife, perpetrator of maltreatment and neglect
Y07.03@Male partner, perpetrator of maltreatment and neglect
Y07.04@Female partner, perpetrator of maltreatment and neglect
Y07.11@Biological father, perpetrator of maltreatment and neglect
Y07.12@Biological mother, perpetrator of maltreatment and neglect
Y07.13@Adoptive father, perpetrator of maltreatment and neglect
Y07.14@Adoptive mother, perpetrator of maltreatment and neglect
Y07.410@Brother, perpetrator of maltreatment and neglect
Y07.411@Sister, perpetrator of maltreatment and neglect
Y07.420@Foster father, perpetrator of maltreatment and neglect
Y07.421@Foster mother, perpetrator of maltreatment and neglect
Y07.430@Stepfather, perpetrator of maltreatment and neglect
Y07.432@Male friend of parent, perpetrator of maltreat and neglect
Y07.433@Stepmother, perpetrator of maltreatment and neglect
Y07.434@Female friend of parent, perp of maltreat and neglect
Y07.435@Stepbrother, perpetrator or maltreatment and neglect
Y07.436@Stepsister, perpetrator of maltreatment and neglect
Y07.490@Male cousin, perpetrator of maltreatment and neglect
Y07.491@Female cousin, perpetrator of maltreatment and neglect
Y07.499@Other family member, perpetrator of maltreatment and neglect
Y07.50@Unsp non-family member, perpetrator of maltreat and neglect
Y07.510@At-home childcare provider, perp of maltreat and neglect
Y07.511@Daycare center childcare prov, perp of maltreat and neglect
Y07.512@At-home adultcare provider, perp of maltreat and neglect
Y07.513@Adultcare center provider, perp of maltreat and neglect
Y07.519@Unsp daycare provider, perpetrator of maltreat and neglect
Y07.521@Mental health provider, perpetrator of maltreat and neglect
Y07.528@Oth therapist or healthcare prov, perp of maltreat & neglect
Y07.529@Unsp healthcare provider, perp of maltreat and neglect
Y07.53@Teacher or instructor, perpetrator of maltreat and neglect
Y07.59@Oth non-family member, perpetrator of maltreat and neglect
Y07.9@Unspecified perpetrator of maltreatment and neglect
#
Y08.01XA@Assault by strike by hockey stick, initial encounter
Y08.01XD@Assault by strike by hockey stick, subsequent encounter
Y08.01XS@Assault by strike by hockey stick, sequela
Y08.02XA@Assault by strike by baseball bat, initial encounter
Y08.02XD@Assault by strike by baseball bat, subsequent encounter
Y08.02XS@Assault by strike by baseball bat, sequela
Y08.09XA@Assault by strike by oth type of sport equipment, init
Y08.09XD@Assault by strike by oth type of sport equipment, subs
Y08.09XS@Assault by strike by oth type of sport equipment, sequela
Y08.81XA@Assault by crashing of aircraft, initial encounter
Y08.81XD@Assault by crashing of aircraft, subsequent encounter
Y08.81XS@Assault by crashing of aircraft, sequela
Y08.89XA@Assault by other specified means, initial encounter
Y08.89XD@Assault by other specified means, subsequent encounter
Y08.89XS@Assault by other specified means, sequela
#
Y09.@Assault by unspecified means
#
Y21.0XXA@Drown while in bathtub, undetermined intent, init
Y21.0XXD@Drown while in bathtub, undetermined intent, subs
Y21.0XXS@Drown while in bathtub, undetermined intent, sequela
Y21.1XXA@Drown after fall into bathtub, undetermined intent, init
Y21.1XXD@Drown after fall into bathtub, undetermined intent, subs
Y21.1XXS@Drown after fall into bathtub, undetermined intent, sequela
Y21.2XXA@Drown while in swimming pool, undetermined intent, init
Y21.2XXD@Drown while in swimming pool, undetermined intent, subs
Y21.2XXS@Drown while in swimming pool, undetermined intent, sequela
Y21.3XXA@Drown after fall into swimming pool, undet intent, init
Y21.3XXD@Drown after fall into swimming pool, undet intent, subs
Y21.3XXS@Drown after fall into swimming pool, undet intent, sequela
Y21.4XXA@Drown in natural water, undetermined intent, init
Y21.4XXD@Drown in natural water, undetermined intent, subs
Y21.4XXS@Drown in natural water, undetermined intent, sequela
Y21.8XXA@Oth drowning and submersion, undetermined intent, init
Y21.8XXD@Oth drowning and submersion, undetermined intent, subs
Y21.8XXS@Other drowning and submersion, undetermined intent, sequela
Y21.9XXA@Unsp drowning and submersion, undetermined intent, init
Y21.9XXD@Unsp drowning and submersion, undetermined intent, subs
Y21.9XXS@Unsp drowning and submersion, undetermined intent, sequela
#
Y22.XXXA@Handgun discharge, undetermined intent, initial encounter
Y22.XXXD@Handgun discharge, undetermined intent, subsequent encounter
Y22.XXXS@Handgun discharge, undetermined intent, sequela
#
Y23.0XXA@Shotgun discharge, undetermined intent, initial encounter
Y23.0XXD@Shotgun discharge, undetermined intent, subsequent encounter
Y23.0XXS@Shotgun discharge, undetermined intent, sequela
Y23.1XXA@Hunting rifle discharge, undetermined intent, init encntr
Y23.1XXD@Hunting rifle discharge, undetermined intent, subs encntr
Y23.1XXS@Hunting rifle discharge, undetermined intent, sequela
Y23.2XXA@Military firearm discharge, undetermined intent, init encntr
Y23.2XXD@Military firearm discharge, undetermined intent, subs encntr
Y23.2XXS@Military firearm discharge, undetermined intent, sequela
Y23.3XXA@Machine gun discharge, undetermined intent, init encntr
Y23.3XXD@Machine gun discharge, undetermined intent, subs encntr
Y23.3XXS@Machine gun discharge, undetermined intent, sequela
Y23.8XXA@Oth larger firearm discharge, undetermined intent, init
Y23.8XXD@Oth larger firearm discharge, undetermined intent, subs
Y23.8XXS@Other larger firearm discharge, undetermined intent, sequela
Y23.9XXA@Unsp larger firearm discharge, undetermined intent, init
Y23.9XXD@Unsp larger firearm discharge, undetermined intent, subs
Y23.9XXS@Unsp larger firearm discharge, undetermined intent, sequela
#
Y24.0XXA@Airgun discharge, undetermined intent, initial encounter
Y24.0XXD@Airgun discharge, undetermined intent, subsequent encounter
Y24.0XXS@Airgun discharge, undetermined intent, sequela
Y24.8XXA@Other firearm discharge, undetermined intent, init encntr
Y24.8XXD@Other firearm discharge, undetermined intent, subs encntr
Y24.8XXS@Other firearm discharge, undetermined intent, sequela
Y24.9XXA@Unsp firearm discharge, undetermined intent, init encntr
Y24.9XXD@Unsp firearm discharge, undetermined intent, subs encntr
Y24.9XXS@Unspecified firearm discharge, undetermined intent, sequela
#
Y25.XXXA@Contact w explosive material, undetermined intent, init
Y25.XXXD@Contact w explosive material, undetermined intent, subs
Y25.XXXS@Contact w explosive material, undetermined intent, sequela
#
Y26.XXXA@Exposure to smoke, fire and flames, undet intent, init
Y26.XXXD@Exposure to smoke, fire and flames, undet intent, subs
Y26.XXXS@Exposure to smoke, fire and flames, undet intent, sequela
#
Y27.0XXA@Contact w steam and hot vapors, undetermined intent, init
Y27.0XXD@Contact w steam and hot vapors, undetermined intent, subs
Y27.0XXS@Contact w steam and hot vapors, undetermined intent, sequela
Y27.1XXA@Contact with hot tap water, undetermined intent, init encntr
Y27.1XXD@Contact with hot tap water, undetermined intent, subs encntr
Y27.1XXS@Contact with hot tap water, undetermined intent, sequela
Y27.2XXA@Contact with hot fluids, undetermined intent, init encntr
Y27.2XXD@Contact with hot fluids, undetermined intent, subs encntr
Y27.2XXS@Contact with hot fluids, undetermined intent, sequela
Y27.3XXA@Contact w hot household appliance, undetermined intent, init
Y27.3XXD@Contact w hot household appliance, undetermined intent, subs
Y27.3XXS@Contact w hot household appliance, undet intent, sequela
Y27.8XXA@Contact w oth hot objects, undetermined intent, init encntr
Y27.8XXD@Contact w oth hot objects, undetermined intent, subs encntr
Y27.8XXS@Contact with other hot objects, undetermined intent, sequela
Y27.9XXA@Contact w unsp hot objects, undetermined intent, init encntr
Y27.9XXD@Contact w unsp hot objects, undetermined intent, subs encntr
Y27.9XXS@Contact with unsp hot objects, undetermined intent, sequela
#
Y28.0XXA@Contact with sharp glass, undetermined intent, init encntr
Y28.0XXD@Contact with sharp glass, undetermined intent, subs encntr
Y28.0XXS@Contact with sharp glass, undetermined intent, sequela
Y28.1XXA@Contact with knife, undetermined intent, initial encounter
Y28.1XXD@Contact with knife, undetermined intent, subs encntr
Y28.1XXS@Contact with knife, undetermined intent, sequela
Y28.2XXA@Contact w sword or dagger, undetermined intent, init encntr
Y28.2XXD@Contact w sword or dagger, undetermined intent, subs encntr
Y28.2XXS@Contact with sword or dagger, undetermined intent, sequela
Y28.8XXA@Contact w oth sharp object, undetermined intent, init encntr
Y28.8XXD@Contact w oth sharp object, undetermined intent, subs encntr
Y28.8XXS@Contact with oth sharp object, undetermined intent, sequela
Y28.9XXA@Contact w unsp sharp object, undetermined intent, init
Y28.9XXD@Contact w unsp sharp object, undetermined intent, subs
Y28.9XXS@Contact with unsp sharp object, undetermined intent, sequela
#
Y29.XXXA@Contact with blunt object, undetermined intent, init encntr
Y29.XXXD@Contact with blunt object, undetermined intent, subs encntr
Y29.XXXS@Contact with blunt object, undetermined intent, sequela
#
Y30.XXXA@Fall, jump or pushed from a high place, undet intent, init
Y30.XXXD@Fall, jump or pushed from a high place, undet intent, subs
Y30.XXXS@Fall, jump or pushed from a high place, undet intent, sqla
#
Y31.XXXA@Fall/lying/running bef/into moving obj, undet intent, init
Y31.XXXD@Fall/lying/running bef/into moving obj, undet intent, subs
Y31.XXXS@Fall/lying/running bef/into moving obj, undet intent, sqla
#
Y32.XXXA@Crashing of motor vehicle, undetermined intent, init encntr
Y32.XXXD@Crashing of motor vehicle, undetermined intent, subs encntr
Y32.XXXS@Crashing of motor vehicle, undetermined intent, sequela
#
Y33.XXXA@Other specified events, undetermined intent, init encntr
Y33.XXXD@Other specified events, undetermined intent, subs encntr
Y33.XXXS@Other specified events, undetermined intent, sequela
#
Y35.001A@Lgl intervnt w unsp firearm disch, law enforc offl inj, init
Y35.001D@Lgl intervnt w unsp firearm disch, law enforc offl inj, subs
Y35.001S@Lgl intervnt w unsp firearm disch, law enforc offl inj, sqla
Y35.002A@Legal intervnt w unsp firearm disch, bystand injured, init
Y35.002D@Legal intervnt w unsp firearm disch, bystand injured, subs
Y35.002S@Legal intervnt w unsp firearm disch, bystand inj, sequela
Y35.003A@Legal intervnt w unsp firearm disch, suspect injured, init
Y35.003D@Legal intervnt w unsp firearm disch, suspect injured, subs
Y35.003S@Legal intervnt w unsp firearm disch, suspect inj, sequela
Y35.011A@Legal intervnt w inj by mch gun, law enforc offl inj, init
Y35.011D@Legal intervnt w inj by mch gun, law enforc offl inj, subs
Y35.011S@Legal intervnt w inj by mch gun, law enforc offl inj, sqla
Y35.012A@Legal intervnt w injury by mch gun, bystand injured, init
Y35.012D@Legal intervnt w injury by mch gun, bystand injured, subs
Y35.012S@Legal intervnt w injury by mch gun, bystand injured, sequela
Y35.013A@Legal intervnt w injury by mch gun, suspect injured, init
Y35.013D@Legal intervnt w injury by mch gun, suspect injured, subs
Y35.013S@Legal intervnt w injury by mch gun, suspect injured, sequela
Y35.021A@Legal intervnt w inj by handgun, law enforc offl inj, init
Y35.021D@Legal intervnt w inj by handgun, law enforc offl inj, subs
